xxxx;;;;;;;;;;;;;;x
LEDGER_PRE;上一个;Pr閏閐ent;Zur點k;Wstecz;Anterior;Indietro;El鮶?P鴈dchoz?;;;;;x;
LEDGER_PUPPET_TO;向宗主国进贡;Vers l'閠at dominant;An Drahtzieherland;;Al jefe supremo;;;;;;;;;x
LEDGER_USED_INDUSTRY;工业消耗;Utilis?par l'industrie;Von der Industrie genutzt;;En uso por la industria;;;;;;;;;x
LEDGER_USED_TROOPS;军队消耗;Utilis?par les troupes;Von Truppen genutzt;;En uso por tropas;;;;;;;;;x
LEDGER_USED_ALLIES;盟军消耗;Utilis?par les alli閟;Von Verb黱deten genutzt;;En uso por aliados;;;;;;;;;x
LEDGER_FROM_EXILES;来自流亡政府;Provenant des gouvernements en exil;Von Exilanten;;De exiliados;;;;;;;;;x
LEDGER_FLOW_TITLE;资源流量;Flux de ressources;Ressourcenfluss;;Flujo de recursos;;;;;;;;;x
LEDGER_CONVOYS_TITLE;护航舰队;Convois;Konvois;;Convoyes;;;;;;;;;x
LEDGER_FROM;从;De;Von;;De;;;;;;;;;x
LEDGER_TO;到;?Nach;;A;;;;;;;;;x
LEDGER_TRANSPORTS;运输舰;Navires de transport;Truppentr.;;Transportes;;;;;;;;;x
LEDGER_ESCORTS;护航舰;Escortes;Geleitschiffe;;Escoltas;;;;;;;;;x
LEDGER_POLITICIANS_TITLE;政治家;Politiciens;Politiker;;Pol韙icos;;;;;;;;;x
LEDGER_NONE;无;Aucun;Keine;;Nada;;;;;;;;;x
LEDGER_NAME;名称;Nom;Name;;Nombre;;;;;;;;;x
LEDGER_TYPE;类型;Type;Typ;;Tipo;;;;;;;;;x;
LEDGER_STRENGTH;兵力;Puiss;St.;;Est;;;;;;;;;x;
LEDGER_ORG;组织度;Org;Org.;;Org.;;;;;;;;;x;
LEDGER_LOCATION;位置;Emplacement;Pos.;;Ubicaci髇;;;;;;;;;x;
LEDGER_DIVISION;所属师;Division;Division;;Divisi髇;;;;;;;;;x;
LEDGER_CORP;所属军;Corps;Korps;;Cuerpo;;;;;;;;;x;
LEDGER_ARMY;所属集团军;Arm閑;Armee;;Ej閞cito;;;;;;;;;x;
LEDGER_ARMYGROUP;所属集群;Groupe d'arm閑s;Armeegruppe;;Grupo de ej閞citos;;;;;;;;;x;
LEDGER_THEATRE;所属战区;Th殁tre des op閞ations;Kriegsschauplatz;;Teatro;;;;;;;;;x;
LEDGER_ORDER;命令;Ordre;Befehl;;Orden;;;;;;;;;x;
LEDGER_IDEOLOGY;意识形态;Id閛logie;Ideologie;;Ideolog韆;;;;;;;;;x;
LEDGER_POSSIBLE;可能;Possible;M鰃lich;;Posible;;;;;;;;;x;
LEDGER_PERSONALITY;特性;Personnalit?Pers鰊lichkeit;;Personalidad;;;;;;;;;x;
LEDGER_JOB;职位;Emploi;Job;;Puesto;;;;;;;;;;x
LEDGER_FLEET;所属舰队;Flotte;Flotte;;Flota;;;;;;;;;;x
LEDGER_BASE;基地;Base;St黷zpunkt;;Base;;;;;;;;;;x
LEDGER_WING;所属编队;Flotte a閞ienne;Geschwader;;Ala;;;;;;;;;;x
LEDGER_OWNER;所属;D閠enteur;Eigent黰er;;Propietario;;;;;;;;;;x
LEDGER_SHIP;被击沉;Navire;Schiff;;Buque;;;;;;;;;;x
LEDGER_SINKER_NAME;攻击者;Coul?par;Schiffsversenker-Name;;Nombre del que lo hundi?;;;;;;;;;x
LEDGER_SINKER_TYPE;类型;Type du navire ayant fait sombrer;Schiffsversenker-Typ;;Tipo del que lo hundi?;;;;;;;;;x
LEDGER_SINKER_COUNTRY;所属;Pays ayant fait sombrer;Schiffsversenker-Land;;Pa韘 del que lo hundi?;;;;;;;;;x
LEDGER_YES;是;Oui;Ja;;S?;;;;;;;;;x
LEDGER_NO;不;Non;Nein;;No;;;;;;;;;;x
LEDGER_BRIGADE_TITLE;陆军旅;Brigades;Brigaden;;Brigadas;;;;;;;;;;x
LEDGER_SHIP_TITLE;舰船;Navires;Schiffe;;Barcos;;;;;;;;;;x
LEDGER_PLANE_TITLE;飞机;Avions;Flugzeuge;;torp.;;;;;;;;;;x
LEDGER_MODELNAME;型号;Mod鑜e;Modell;;Modelo;;;;;;;;;x;
LEDGER_WIDTH;战术宽度;蓆endue;Breite;;Anchura;;;;;;;;;x;
LEDGER_SOFT_ATTACK;软攻能力;Attaque de cibles non blind閑s;Angr. geg. ungep. Ziele;;Ataque blando;;;;;;;;;x;
LEDGER_HARD_ATTACK;硬攻能力;Attaque de cibles blind閑s;Angr. geg. gep. Ziele;;Ataque duro;;;;;;;;;x;
LEDGER_DEFENSIVNESS;防御力.;Capacit閟 d閒ensives;Defensivst鋜ke;;Defensa;;;;;;;;;x;
LEDGER_TOUGHNESS;坚韧度;R閟istance;Z鋒igkeit;;Resist.;;;;;;;;;x
LEDGER_SOFTNESS;非装甲度;Faiblesses;Schw鋍he;;Dureza;;;;;;;;;x
LEDGER_AIR_ATTACK;对空攻击;Attaque a閞ienne;Luftangriff;;Ataque a閞eo;;;;;;;;;x
LEDGER_AIR_DEFENCE;对空防御;D閒. A閞ienne;Luftverteidigung;;Def. a閞ea;;;;;;;;;x
LEDGER_SURPRESSION;镇压;Surprise;Unterdr點kung;;Supr.;;;;;;;;;x
LEDGER_SPEED;速度;Vitesse;Geschwindigkeit;;Veloc.;;;;;;;;;x
LEDGER_SURFACE_DETECTION;对海探测;D閠ec. de surface;Oberfl鋍henortung;;Detecc. Superf.;;;;;;;;;x
LEDGER_RANGE;航程;Rayon d'action;Reichweite;;Radio de acci髇;;;;;;;;;x
LEDGER_DISTANCE;射程;Distance;Entf.;;Dist.;;;;;;;;;x
LEDGER_AIR_DETECTION;对空探测;D閠ec. A閞ienne;Luftortung;;Detecc. a閞ea;;;;;;;;;x
LEDGER_SUB_DETECTION;对潜探测;D閠ec. de sous-marins;U-Boot-Ortung;;Detecc. sub.;;;;;;;;;x
LEDGER_VISIBILITY;能见度;Visib.;Sichtw.;;Vis.;;;;;;;;;x
LEDGER_SEA_DEFENCE;对海防御;D閒. Navale;Seevert.;;Def. mar.;;;;;;;;;x
LEDGER_CONVOY_ATTACK;护航袭击;Attaque de convoi;Konvoiangriff;;Conv. Ataque;;;;;;;;;x
LEDGER_SEA_ATTACK;对海攻击;Attaque navale;Seeangriff;;At. mar韙imo;;;;;;;;;x
LEDGER_SUB_ATTACK;对潜攻击;Attaque de sous-marin;U-Boot-Angriff;;Ataque sub.;;;;;;;;;x
LEDGER_SHORE_BOMBARDMENT;海岸炮击;Bombardement c魌ier;K黶tenbombardement;;Bomb. costa;;;;;;;;;x
LEDGER_HULL;船体;Coque;Rumpf;;Hull;;;;;;;;;x
LEDGER_POSITIONING;兵力布置;Pos.;Pos.;;Pos.;;;;;;;;;x
LEDGER_TRANSPORT_CAPABILITY;运输能力;Cap.;Kap.;;transporte;;;;;;;;;x
LEDGER_CARRIER_CAPACITY;容量;Capacit?Kapazit鋞;;Capacidad;;;;;;;;;x
LEDGER_STRATEGIC_ATTACK;战略攻击;Attaque d'un d閠roit;Strat. Angriff;;Ataque est.;;;;;;;;;x
LEDGER_RANK;军衔;Rang;Rang;;Puesto;;;;;;;;;x
LEDGER_SKILL;技能;Comp閠ence;F鋒igkeit;;Hab.;;;;;;;;;x
LEDGER_EXPERIENCE;经验;Exp閞ience;Erfahrung;;Experiencia;;;;;;;;;x
LEDGER_TRAIT1;特性 1;Caract閞istique 1;Eigenschaft 1;;Rasgo 1;;;;;;;;;x
LEDGER_TRAIT2;特性 2;Caract閞istique 2;Eigenschaft 2;;Rasgo 2;;;;;;;;;x
LEDGER_COMMISION;指挥单位;Commission;Kommission;;Cargo;;;;;;;;;x
LEDGER_NO_DATA;没有此项资料;Aucune donn閑 pour ce diagramme circulaire;Keine Daten f黵 diesen Graphen;;Sin datos;;;;;;;;;x
LEDGER_PIE_ALL;所有单位;Toutes les unit閟;Alle Einheiten;;Todas las unidades;;;;;;;;;x
LEDGER_PIE_LAND;陆军单位;Unit閟 terrestres;Landeinheiten;;Las unidades terrestres;;;;;;;;;x
LEDGER_PIE_NAVAL;海军单位;Unit閟 navales;Seeeinheiten;;Las unidades navales;;;;;;;;;x
LEDGER_PIE_AIR;空军单位;Unit閟 a閞iennes;Lufteinheiten;;Las unidades a閞eas;;;;;;;;;x
LEDGER_LAND;陆军;Terre;Land;;Tierra;;;;;;;;;x
LEDGER_AIR;空军;Air;Luft;;A閞eos;;;;;;;;;x
LEDGER_NAVAL;海军;Naval;See;;Naval;;;;;;;;;x
LEDGER_UNIT_SPLIT;单位数量;Nombre d'unit閟;Anzahl der Einheiten;;N鷐ero de unidades;;;;;;;;;x
LEDGER_SUPPLY_CONSUMPTION;补给消耗;Conso. en ravitaillement;Nachschubverbrauch;;Cons. sumin.;;;;;;;;;x
LEDGER_FUEL_CONSUMPTION;燃料消耗;Conso. en carburant;Treibstoffverbauch;;Cons. combus.;;;;;;;;;x
LEDGER_UNIT_REINFORCE_NEED;增援需求：;Renforts n閏essaires :;Ben鰐igte Verst鋜kung:;;Necesidad de refuerzos: ;;;;;;;;;x
ELEDGER_NATIONAL_STATISTICS;国家统计;Statistiques nationales;Landesstatistiken;;Estad韘ticas nacionales;;;;;;;;;x
LEDGER_AIR_COMMMANDER;空军将领;Chefs de l'arm閑 de l'air;Luftwaffenanf黨rer;;L韉eres a閞eos;;;;;;;;;x
LEDGER_SEA_COMMMANDER;海军将领;Chefs de la marine;Flottenanf黨rer;;L韉eres navales;;;;;;;;;x
LEDGER_LAND_COMMMANDER;陆军将领;Chefs de l'arm閑;Armeeanf黨rer;;L韉eres de ej閞cito;;;;;;;;;x
LEDGER_SURFACE_DEFENCE;对海防御;D閒. en surface;Oberfl鋍henvert.;;Def. Superf.;;;;;;;;;x
LEDGER_BRIGADE_STATS;陆军旅统计;Stats de la brigade;Brigadestatistiken;;Estad韘ticas de brigada;;;;;;;;;x
LEDGER_SHIP_STATS;舰只统计;Stats du navire;Schiffstatistiken;;Estad韘ticas de buque;;;;;;;;;x
LEDGER_PLANE_STATS;飞机统计;Stats de l'avion;Flugzeugstatistiken;;Estad韘ticas de avi髇;;;;;;;;;x
LEDGER_CONVERTED_TO;转化得到;Converti ?partir de;Konvertiert von;;Convertido de;;;;;;;;;x
fascism;法西斯主义;;;;;;;;;;;;;x
democracy;民主主义;;;;;;;;;;;;;x
communism;共产主义;;;;;;;;;;;;;x
LEDGER_PREVIOUS;上一个;;;;;;;;;;;;;x
