xxxx;;;;;;;;;;;;;;x
EVTOPTA5041;ÈÃÎÒÃÇÕ½¶·°É ;;Lasst uns kämpfen;;Luchemos.;;;;;;;;;x
EVTNAME5042;ÃºÌ¿¾èÔù ;;Kohlegeschenke;;Donaciones de carbón;;;;;;;;;x
EVTDESC5042;ÎªÁË¸øÎÒÃÇµÄÕ½Õù»úÆ÷Ìá¹©È¼ÁÏ£¬ÎÒÃÇµÄÈËÃñ½«ËûÃÇ×Ô¼ºµÄ\nÃºÌ¿¾è¸øÁËÕş¸®¡£ ;;Um unsere Kriegsmaschinerie anzutreiben haben unsere Leute ihre eigenen Kohlevorräte an uns übergeben.;;Para alimentar nuestro aparato bélico, nuestra gente ha donado parte de sus propias reservas de carbón al gobierno.;;;;;;;;;x
EVTOPTA5042;ÎÒÃÇ½«È¼ÉÕÕû¸öÊÀ½ç¡£ ;;Wir werden die Welt in Brand setzen;;Vamos a incendiar el mundo.;;;;;;;;;x
EVTNAME5043;½ğÊô¾èÔù ;;Metallgeschenke;;Donaciones de metal;;;;;;;;;x
EVTDESC5043;Õ½ÕùµÄ³É¹ûĞèÒª½ğÊô£¬ÎÒÃÇµÄÈËÃñÊÕ¼¯ËûÃÇµÄ´¶¾ß¡¢Õ¤À¸£¬\nÎª¹¤ÒµÌá¹©ÁË¸ü¶àµÄ½ğÊô¡£ ;;Der Krieg benötigt Rohstoffe und unsere Zivilbevölkerung hat Töpfe, Pfannen und Zaunrollen gesammelt, um uns das Metall zur Verfügung zu stellen.;;El esfuerzo de guerra necesita materiales y nuestra población civil ha reunido cosas como ollas, sartenes y barras metálicas de rejas para proporcionar más metal a la industria.;;;;;;;;;x
EVTOPTA5043;ÔÙ¶à¸øÒ»Ğ©£¡ ;;Ich will mehr, verdammt!;;¡Dadme más, malditos!;;;;;;;;;x
EVTNAME5044;Ï¡ÓĞÔ­ÁÏ¾èÔù ;;Geschenke an seltenen Materialien;;Donaciones de materiales raros;;;;;;;;;x
EVTDESC5044;ÎªÁËÔÚÕ½ÕùÖĞÖ¾Ô¸ÎÒÃÇ£¬ºó·½¿ªÊ¼¾èÔù±¸ÓÃÂÖÌ¥µÈµÈÎï×ÊÒÔ\nÖ§³ÅÎÒÃÇµÄÉú²úÄÜÁ¦¡£ ;;Um unseren Krieg zu unterstützen hat die Heimatfront Dinge wie Ersatzreifen und Ähnliches gesammelt, um unsere Produktion zu stärken.;;Para ayudarnos en el esfuerzo de guerra, en casa han estado donando neumáticos de repuesto y cosas parecidas para ayudar a mantener nuestra capacidad de producción.;;;;;;;;;x
EVTOPTA5044;ÎÒÃÇ½«ÎªÁËÊ¤ÀûÊ¹ÓÃËüÃÇ ;;Wir werden sie zum Sieg nutzen;;Lo utilizaremos para alcanzar la victoria.;;;;;;;;;x
economic_boost;¾­¼Ã¸ÄÉÆ ;;Wirtschaftlicher Aufschwung;;Auge económico;;;;;;;;;x
desc_economic_boost;ÎÒÃÇµÄ¾­¼Ã¸ÄÉÆÁË ;;Unsere Wirtschaft wurde verbessert;;Nuestra economía se ha visto impulsada.;;;;;;;;;x
volunteer_surge;Ö¾Ô¸ÕßÔö¼Ó ;;Freiwilligenwelle;;Auge de voluntarios;;;;;;;;;x
desc_volunteer_surge;ÎÒÃÇµÄÖ¾Ô¸ÕßÓ»Ô¾²Î¾ü ;;Freiwillige strömen unserer Armee zu;;Nuestros voluntarios van en aumento;;;;;;;;;x
STRMONTHLY_CHANGE;Ã¿ÔÂ¸Ä±ä£º ;;Monatsänderung:;;Cambio mensual:;;;;;;;;;x
STW_CONV;»¤º½/·´Ç± ×÷Õ½£º ;;Konvoi/ASW-Kriegsführung;;Guerra Convoy/ASW: ;;;;;;;;;x
STW_ALLIES;Í¬ÃËÖ§Ô®£º ;;Alliierte Hilfe:;;Ayuda aliada: ;;;;;;;;;x
STW_BOMB;Õ½ÂÔºäÕ¨£º ;;Strategische Bombardierung:;;Bombardeo estratégico: ;;;;;;;;;x
non_core;·ÇºËĞÄ ;;Nicht-Stamm;;No núcleo;;;;;;;;;x
MILACCOFFDESC;$COUNTRY$ ÏòÎÒÃÇÌá¹©ÁË¾üÊÂÍ¨ĞĞÈ¨¡£\nÕâ½«ÔÊĞíÎÒÃÇ½«Õ½½¢ºÍ¾ü¶ÓÒÆ¶¯µ½ËûÃÇµÄ½®ÓòÄÚ¡£ ;;$COUNTRY$ bietet uns Transitrechte an. Wenn wir annehmen können wir Schiffe und Armeen in ihr Gebiet schicken.;;$COUNTRY$ nos ofrece derechos de tránsito. Si los aceptamos, podremos mover barcos y ejércitos por su territorio.;;;;;;;;;x
EVTNAME31001;Ê¤ÀûÕß·ÖÔß ;Pour les vainqueurs, le butin;Die Sieger gehen die Beute;;Los despojos para el vencedor;;;;;;;;x;
EVTDESC31001;ËÕÁªÔÚ¶«·½µÄÍşĞ²ÒÑ¾­±»´İ»Ù£¬ÏÖÔÚÊÇÊ±ºòÀ´»®·ÖÕ½ÀûÆ·ÁË\nÄãµÄÃË¹úÏ£Íû»ñµÃËÕÁª´ÓËûÃÇÄÇÀïÇÔÈ¡µÄÍÁµØ¡£ ;Avec la menace soviétique au Moyen-détruits, il est temps de partager le butin. Vos alliés voudront que les terres les Soviétiques en volant de leur part.;Mit der sowjetischen Bedrohung im Osten zerstört, ist es Zeit, die Beute zu teilen. Ihre Verbündeten wollen die Länder die Sowjets besiegt und von ihnen.;;Con la amenaza soviética en el Oriente destruida, es el momento de dividir el botín. Tus aliados querrán las tierras que los soviéticos les robaron.;;;;;;;;x;
EVTOPTA31001;½±ÉÍÄãµÄÃË¹ú ;Récompensez vos alliés;Belohnen Sie Ihre Verbündeten;;Recompensa a tus aliados;;;;;;;;x;
