xxxx;;;;;;;;;;;;;;x
YES;拥有;Oui;Ja;;S?;;;;;;;;x,
Saturday;星期六 ;Samedi;Samstag;So;S墎ado;Sabato;Szombat;Sobota;;;;;;x
September;九月 ;Septembre;September;Wrzesie?Septiembre;Settembre;September;Z暟?;;;;;x
Sunday;星期日 ;Dimanche;Sonntag;Nd;Domingo;Domenica;Vas嫫nap;Ned骴e;;;;;;x
Thursday;星期四 ;Jeudi;Donnerstag;Cz;Jueves;Gioved?Cs悫顤t闼;юvrtek;;;;;;x,,,,,,,,
Tuesday;星期二 ;Mardi;Dienstag;Wt;Martes;Marted?Kedd;猲er?;;;;;x,,,,,,,,
Wednesday;星期三 ;Mercredi;Mittwoch;丯;Mi廨coles;Mercoled?Szerda;St鹔da;;;;;;x,,,,,,,,
GAIN;获得 ;Gain;Erhalten;Zyskujesz;Ganancia;+;Nyeres嶲;Zisk;;;;;;x,,,,,,,,
LOSE;失去 ;Perte;Verlieren;Tracisz;P廨dida;-;Vesztes嶲;Ztr嫢a;;;;;;x,,,,,,,,
SM_COUNTERS;使用兵牌图标 ;Utiliser les pions;;;Usar fichas;;;;;;;;;x,,,,,,,,
NO_COMMANDER;(没有指挥官) ;(Aucun commandant);(Kein Befehlshaber);(Brak dow鏚cy);(Sin comandante);(senza comandante);(Nincs parancsnok);(Bez velitele);;;;;;x,,,,,,,,
MORALE;士气;Moral;Moral;Morale;Moral;Morale;Mor嫮;Mor嫮ka;;;;;;x,,,,,,,,
Owned by $owner$, but currently occupied by $control$;拥有者是$owner$，但目前被$control$占领;Propi彋?de $owner$, mais actuellement sous occupation de $control$;Eigentum von $owner$, aber momentan von $control$ besetzt;Nale篡 do $owner$, ale aktualnie jest okupowana przez $control$.;Owned by $owner$, but currently occupied by $control$;Posseduto da: $owner$, ma attualmente occupato da: $control$;$owner$ tulajdona, de jelenleg $control$ birtokolja;N嫮e麅 $owner$, v sou醀snosti okupov嫕o $control$;;;;;;x
Owned by $owner$.;拥有者是$owner$。;Propi彋?de  $owner$.;Eigentum von $owner$;Nale篡 do $owner$.;Owned by $owner$.;Posseduto da: $owner$.;$owner$ a tulajdonosa.;N嫮e麅 $owner$.;;;;;;x,,,,,,,,
CATEGORY;($TYPE$)\n;($TYPE$)\n;($TYPE$)\n;($TYPE$)\n;($TYPE$)\n;($TYPE$)\n;($TYPE$)\n;($TYPE$)\n;;;;;;x,,,,,,,,
ATTRITION_WEIGHT;单位重量为$VALUE$。;Le poids de l'unit?est de 即$VALUE$劬;Das Einheitengewicht betr輍t 即$VALUE$劬;Ci篹ar jednostki wynosi: 即$VALUE$劬;El peso de la unidad es 即$VALUE$劬;Il peso delle unit??即$VALUE$劬;Az egys嶲 s莞ya: 即$VALUE$劬;Hmotnost jednotky je 即$VALUE$劬;;;;;;x,,,,,,,,
ATTRITION_MAX;此地区最高损耗为$VALUE$。;Un maximum de 即$VALUE$劬 pour cent ?cet endroit.;Maximal 即$VALUE$劬 Prozent an diesem Ort.;Maksymalnie 即$VALUE$劬 procent w tym miejscu.;M嫞imo de 即$VALUE$劬 por ciento en esta ubicaci鏮.;Un massimo del 即$VALUE$劬 percento in questa posizione.;Maximum 即$VALUE$劬 sz嫙al幧 lehet ezen a helyen.;Maximum z 即$VALUE$劬 procent na t彋o lokaci.;;;;;;x,,,,,,,,
NO_LEADER;(没有将领);(aucun leader);(kein Anfrer);(brak dow鏚cy);(sin l狝er);(nessun condottiero);(nincs vezet?;(bez velitele);;;;;;x,,,,,,,,
CV_RULEDBY;由$NAME$统治;gouvern?par $NAME$;Regiert von $NAME$;rz钜zona przez $NAME$;gobernado por $NAME$;governato da $NAME$;Az uralkod铩a: $NAME$;pod vl墂ou $NAME$;;;;;;x,,,,,,,,
AND;和 ;et ;und ;i ;y ;e ; 廥 ;a;;;;;;x,,,,,,,,
OR;或 ;ou;oder;lub;o;o; vagy ;nebo;;;;;;x,,,,
BUILD_COST;建造消耗;Co婿 de construction;Baukosten;Koszt budowy;Coste de construcci鏮;Costi di costruzione;夗癃廥i k阛ts嶲;N嫜lady na vtavbu;;;;;;x,,,,
LOCAL_REVOLT_RISK;地区叛乱风险 ;Risque de r憝olte locale;Risiko lokaler Revolten;Ryzyko lokalnego buntu;Riesgo de revuelta local;Rischio di rivolta locale;Helyi zend廥 kock嫙ata;Riziko lok嫮n?revolty;;;;;;x,,,,
GLOBAL_REVOLT_RISK;全国叛乱风险 ;Risque de r憝olte nationale;Risiko nationaler Revolten;Ryzyko buntu narodowego;Riesgo de revuelta nacional;Rischio di rivolta nazionale;Nemzeti zend廥 kock嫙ata;Riziko n嫫odn?revolty;;;;;;x,,,,
MANPOWER;人力增长 ;Augmentation de la main-d'崠vre;Mannst酺ke-Anstieg;Wzrost si造 ludzkiej;Aumento de rec. hum.;Incremento del potenziale di reclutamento;Munkaer?Vzr鑸t lidskh zdroj?;;;;;x,,,,
LOCAL_MANPOWER;当地人力修正 ;Modificateur de la main-d'崠vre locale;Lokaler Mannst酺ke-Modifikator;Modyfikator lokalnej si造 ludzkiej;Modificador local a los rec. hum.;Modificatore del potenziale di reclutamento locale;Helyi munkaer?m鏚os癃?Modifik嫢or m疄tn獳h lidskh zdroj?;;;;;x,,,,
GLOBAL_MANPOWER;全国人力修正 ;Modificateur de la main-d'崠vre nationale;Nationaler Mannst酺ke-Modifikator;Modyfikator og鏊nej si造 ludzkiej;Modificador nacional a los rec. hum.;Modificatore del potenziale di reclutamento nazionale;Nemzeti munkaer?m鏚os癃?Modifik嫢or n嫫odn獳h lidskh zdroj?;;;;;x,,,,
ATTRITION;损耗 ;Attrition;Verlustquote;Zu篡cie;El desgaste;Logoramento;Elhaszn嫮鏚嫳;Vyhlazov嫕?;;;;;x,,,,
MAX_ATTRITION;最大损耗 ;Attrition maximale;Maximale Verlustquote;Maksymalne zu篡cie;Desgaste m嫞imo;Logoramento massimo;Maxim嫮is elhaszn嫮鏚嫳;Maxim嫮n?vyhlazov嫕?;;;;;x,,,,
SUPPLY_LIMIT;补给范围 ;Limite en ravitaillement;Nachschublimit;Limit zapas窥;L璥ite suministros;Limite di fornitura;K廥zlethat嫫;Limit dod嫛ek;;;;;;x,,,,
WAR_EXHAUSTION;每月厌战度 ;夗uisement de guerre mensuel;Monatliche Kriegsm?igkeit;Miesi璚zne wyczerpanie wojn?Agotamiento b幨ico mensual;Esaurimento di guerra mensile;H墎or kimerts嶲;M鮀膻n?vy鋀rp嫕?v嫮kou;;;;;;x,,,,
MAX_WAR_EXHAUSTION;最大厌战度 ;夗uisement de guerre maximum;Max. Kriegsm?igkeit;Maksymalne wyczerpanie wojn?Agotamiento b幨ico m嫞imo;Esaurimento di guerra massimo;Maxim嫮is h墎or kimerts嶲;Maxim嫮n?vy鋀rp嫕?v嫮kou;;;;;;x,,,,
FORT_LEVEL;要塞等级 ;Niveau du fort;Fort-Stufe;Poziom fortyfikacji;Nivel de fortificaci鏮;Livello fortezza;Er髇 szint;猳ove?opevn髶?;;;;;x,,,,
BACK_TO_MAIN;返回到主界面。 ;Revenir ?l'interface principale;Zum Hauptbildschirm zurkkehren..;Powr鏒 do g尧wnego interfejsu.;Volver a la interfaz principal.;Tornare all'interfaccia principale.;Vissza a f?felethez.;N嫛rat do hlavn?nab狝ky.;;;;;;x,,,,
ALLREADYTHERE;这座建筑已经完成。 ;Ce b漮iment a d嶴?彋?construit.;Dieses Geb酳de ist schon im Bau.;Ten budynek ju?zosta?zbudowany.;Este edificio ya est?construido.;Questo edificio gi??stato costruito.;Ez az 廧et m嫫 k廥zen van.;Tato budova u?je ve vtab?;;;;;;x,,,,
NOTECH;我们的$TABLE$必须达到$LVL$级才能继续建造。 ;Nous devons atteindre le niveau 即$LVL$劬 de 即$TABLE$劬 avant de pouvoir construire ce b漮iment.;Wir m惰sen Stufe 即$LVL$劬 in 即$TABLE$劬 erreichen, bevor wir dies bauen k霵nen.;Zanim zbudujesz ten obiekt, musisz osi铆n寞 poziom technologiczny 即$LVL$劬 w 即$TABLE$劬.;Tenemos que alcanzar el nivel 即$LVL$劬 en 即$TABLE$劬 antes de construir esto.;Dobbiamo raggiungere il livello 即$LVL$劬 in 即$TABLE$劬 prima di costruire questo edificio.;Csak akkor tudod ezt meg廧癃eni, ha m嫫 el廨ted a 即$LVL$劬 szintet a k饘etkez鳆幨: 即$TABLE$劬 .;Ne?budeme moci zah奫it tuto stavbu, mus璥e dos墏nout ovn?即$LVL$劬 v 即$TABLE$劬;;;;;;x
REQ;您不能建造这个设施除非已经建造了 ;Vous ne pouvez pas construire ceci sans avoir construit le premier b漮iment;Sie k霵nen dies nicht bauen ohne;Najpierw trzeba zbudowa?inny budynek;No puedes construir esto sin construir primero;Non puoi costruire questo senza prima costruire:;Az els?廧et n幨k ezt nem tudod meg廧癃eni.;Tuto stavbu nelze postavit, ani?byste nap鹔d nevybudovali;;;;;;x,,,
NOTBUILD;这座建设筑物不能建在这里。 ;Ce b漮iment ne peut 齇re construit ici.;Dieses Geb酳de kann hier nicht gebaut werden.;Tego budynku nie mo积a tu zbudowa?;No puedes construir este edificio aqu?;Non ?possibile costruire questo edificio qui.;Ezt az 廧etet ide nem 廧癃heted meg.;Tuto stavbu zde nelze postavit.;;;;;;x,,,,
ISBLOCKED;不能重复建筑 ;Vous ne pouvez pas construire ce b漮iment si vous l'avez d嶴?construit;Sie k霵nen dies nicht bauen, denn Sie bauten schon;Nie mo瞠sz zbudowa?tego budynku, je?i zbudowa贯?ju?No puedes construir esto si ya has construido;Non puoi costruire questo edificio se hai gi?costruito;Nem tudod ezt meg廧癃eni, ha m嫫 rendelkezel ilyennel.;Tuto stavbu nelze postavit, pokud u?jste postavili;;;;;;x
CONFIRMBUILDTITLE;确认建造。 ;Confirmer la construction.;Bau best酹igen;Potwierd?budow?;Confirmar construcci鏮.;Confermare la costruzione.;夗癃廥 elfogad嫳a.;Potvrdit stavbu.;;;;;;x,,,,
CONFIRMBUILDTEXT;您确定要建造？ ;厎es-vous certain de vouloir construire ?;Sind Sie sicher mit dem Bau von;Na pewno chcesz zbudowa?烫eguro que quieres construir?;Sei certo di voler costruire:;Biztos vagy benne, hogy 廧癃eni szeretn幨?;Skute锊?chcete postavit;;;;;;x,,,
ONGOINGBUILD;一个建筑目前正在进行中。 ;Une construction est actuellement en cours.;Ein Bau ist derzeit im Gange.;Budowa w toku.;Una construcci鏮 se encuentra actualmente en progreso.;Una costruzione ?attualmente in corso.;Az 廧癃m幯y jelenleg 廧癃廥 alatt 嫮l.;Vtavba prob珰?;;;;;;x,,,,
NOT_IN_CAPITAL;$BUILDING$只能在首都建造。 ;$BUILDING$ peut uniquement 齇re construit dans une capitale.;Dies kann nur in einer Hauptstadt gebaut werden.;Ten obiekt mo积a zbudowa?wy章cznie w stolicy.;$BUILDING$ solo puede construirse en una capital.;Pu?essere costruito solo in una capitale.;Ezt csak egy f鳇嫫osban tudod meg廧癃eni.;$BUILDING$ lze postavit pouze v hlavn璥 m鮀t?;;;;;;x,,,,
NOT_IN_PORT;$BUILDING$只能在港口建造。 ;$BUILDING$ peut uniquement 齇re construit dans un port.;Dies kann nur in einem Hafen gebaut werden;Ten obiekt mo积a zbudowa?wy章cznie w porcie.;$BUILDING$ solo puede construirse en un puerto.;Pu?essere costruito solo in un porto.;Ezt csak egy kik飙骟en tudod meg廧癃eni.;$BUILDING$ lze postavit pouze v p腭stavu.;;;;;;x,,,,
COST;消耗：$AMOUNT$金钱\n建造时间：$TIME$天;Co婿 : 即$AMOUNT$劬 Ducats \nDur嶪 de construction : 即$TIME$劬 jours;Kosten: 即$AMOUNT$劬 Dukaten \nBauzeit: 即$TIME$劬 Tage;Koszt: 即$AMOUNT$劬 dukat窥 \nCzas budowy: 即$TIME$劬 dni;Coste: 即$AMOUNT$劬 Ducados \nTiempo de construcci鏮: 即$TIME$劬 d燰s;Costo: 即$AMOUNT$劬 ducati \nTempo di costruzione: 即$TIME$劬 giorni;K阛ts嶲: 即$AMOUNT$劬 duk嫢 \n 夗癃廥i id? 即$TIME$劬 nap;Cena: 即$AMOUNT$劬 duk嫢?\nD幨ka vtavby: 即$TIME$劬 dn?;;;;;x,,,,
PROVINCE_OCCUPIED;这个省份正被占领。 ;Cette province est occup嶪.;Diese Provinz ist besetzt.;Ta prowincja jest okupowana.;Esta provincia est?ocupada.;Questa provincia ?occupata.;Ez a tartom嫕y el van foglalva.;Tato provincie je okupov嫕a.;;;;;;x,,,,
ATWARWITHUS;他们和我们正处于战争。 ;Ils sont en guerre avec nous.;Sie befinden sich im Krieg mit uns.;S?z nami w stanie wojny.;Est嫕 en guerra con nosotros.;Sono in guerra con noi.;碰 h墎oran 嫮lnak velk.;Jsou s n嫥i ve v嫮e锊幦 stavu.;;;;;;x,,,,
ALLIEDWITHTHEM;我们与他们是同盟。 ;Nous sommes alli廥 ?eux.;Wir sind mit ihnen verbdet.;Mamy z nimi sojusz.;Estamos aliados con ellos.;Siamo loro alleati.;碰 a sz饘ets嶲eseink.;Jsme jejich spojenci.;;;;;;x,,,,
WEGUARANTEED;我们保证他们的独立。 ;Nous garantissons leur ind廧endance.;Wir garantieren ihre Unabh鄚gigkeit.;Gwarantujemy ich niepodleg这?.;Garantizamos su independencia.;Stiamo garantendo la loro indipendenza.;Garant嫮juk a f垐getlens嶲误et.;Garantujeme jejich nez嫛islost.;;;;;;x,,,,
THEYGUARANTING;他们保证我们的独立。 ;Ils garantissent notre ind廧endance.;Sie garantieren unsere Unabh鄚gigkeit.;Gwarantuj?nasz?niepodleg这?.;Garantizan nuestra independencia.;Stanno garantendo la nostra indipendenza.;Garant嫮j嫜 a a f垐getlens嶲ket.;Garantuj?na粿 nez嫛islost.;;;;;;x,,,,
NEUTRAL;我们对他们保证中立。;Nous sommes neutres vis-?vis d'eux.;Wir sind ihnen gegen晒er neutral.;Jeste騦y w stosunku do nich neutralni.;Somos neutrales con ellos.;Siamo neutrali nei loro confronti.;Semlegesek vagyunk az ir嫕yukban.;Jsme v╕i nim neutr嫮n?;;;;;;x,,,,
RELATION;目前的关系： $RELATION$ ;Relation actuelle : $RELATION$;Momentane Beziehung: $RELATION$;Aktualne stosunki: $RELATION$;Relaci鏮 actual: $RELATION$;Relazione attuale: $RELATION$;Jelenlegi viszony: $RELATION$;Aktu嫮n?vztah: $RELATION$;;;;;;x,,,,
SUBJECT;我们是受支配的国家，这不取决于我们。 ;Nous sommes une nation inf廪d嶪. Cela n'est pas de notre ressort.;Wir sind ein Vasallenstaat. Das liegt nicht in unserer Hand.;Jeste騦y krajem podleg造m.;Somos un pa疄 vasallo. No nos corresponde.;Siamo un paese suddito. Non dipende da noi.;Mi egy al嫫endelt orsz墔 vagyunk. Ez nem t鳀k f垐g.;My jsme c璱ovou zem? Na n嫳 to nen?;;;;;;x,,
NODIPLOMATS;您没有外交官可供派遣。 ;Vous ne disposez pas de diplomates ?envoyer.;Sie haben keine Diplomaten, die Sie entsenden k霵nen.;Nie dysponujesz 瘸dnym dyplomat?;No tienes diplom嫢icos que enviar.;Non hai diplomatici da inviare.;Nincs kikdve diplomat墂.;Nem嫢e 黄dn?diplomaty, kter?byste vyslali.;;;;;;x
NO_REBELS;你经常和叛军作战。 ;Vous 齇es toujours en guerre avec les rebelles.;Mit Rebellen befinden Sie sich immer im Krieg.;Zawsze jeste?w stanie wojny z buntownikami.;Siempre est嫳 en guerra con los rebeldes.;Sei sempre in guerra contro ribelli.;Mindig h墎oran 嫮lsz a l嫙ad鏦kal.;S rebely v?y v嫮雁te automaticky.;;;;;;x,,
CV_NORELATION;我们目前同该国没有外交关系。 ;Nous n'avons pas de relations diplomatiques avec ce pays pour le moment.;Wir haben momentan keine diplomatischen Beziehungen mit diesem Land.;Aktualnie nie mamy kontakt窥 dyplomatycznych z tym pa雟twem.;Actualmente no tenemos relaciones diplom嫢icas con este pa疄.;Attualmente non abbiamo rapporti diplomatici con questo paese.;Jelenleg nincsen diplom塶iai kapcsolatunk ezzel az orsz墔gal.;S touto zem?nem嫢e 黄dn?diplomatick?vztahy.;;;;;;x,
CV_GOVTTYPE;$COUNTRY$是一个$GOVT$政府;Le gouvernement de $COUNTRY$ est : $GOVT$;$COUNTRY$ ist $GOVT$;$COUNTRY$ to $GOVT$;$COUNTRY$ es un(a) $GOVT$;$COUNTRY$: $GOVT$;$COUNTRY$ nemzete $GOVT$;$COUNTRY$ je $GOVT$;;;;;;x,,
BASE;基本 :;Base :;Basis:;Baza;Base:;Base:;Alap:;Z嫜ladna:;;;;;;x,,
NORMAL_WAR_NAME;$ORDER$$FIRST$对$SECOND$战争;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Wojna $ORDER$$FIRST$-$SECOND$;Guerra $ORDER$$FIRST$-$SECOND$;$ORDER$ Guerra $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ h墎or?$ORDER$$FIRST$-$SECOND$ v嫮ka;;;;;;x,,
AGRESSION_WAR_NAME;$FIRST$发动的$ORDER$战争 ;$ORDER$ Offensive Militaire $FIRST$;$ORDER$ $FIRST$ Angriffskrieg;Wojna $ORDER$ $FIRST$ ;$ORDER$Guerra de $FIRST$ agresi鏮;$ORDER$ Guerra di aggressione $FIRST$;$ORDER$War of $FIRST$ agresszi?$ORDER$ v嫮ka - $FIRST$ agrese;;;;;;x,,
COUNTRY_MORALE_TECH;科技带来：;?partir de la technologie :;Von Technologie:;Z technologii:;De ltecnolog燰:;Da tecnologia:;Technol罅i墎鏊:;Z technologie:;;;;;;x,,
DAYS;日 ;Jours;Tage;Dni;D燰s;Giorni;Nap;Dny;;;;;;x,,
NOMONEY;您没有足够的金钱。 ;Vous ne disposez pas de suffisamment d'argent.;Sie haben nicht genug Geld.;Nie masz wystarczaj铋ej ilo?i pieni璠zy.;No tienes dinero suficiente;Non hai denaro a sufficienza.;Nincs el嶲 p幯zed.;Nem嫢e dost pen鲊.;;;;;;x,,
VASSALPROV;他们将收到以下省份：;Les provinces suivantes leur seront octroy嶪s :;Sie erhalten die folgenden Provinzen:;Otrzymaj?nast瘼uj铋e prowincje:;Recibir嫕 las siguientes provincias:;Riceveranno le seguenti province:;Meg fogj嫜 szerezni a k饘etkez?tartom嫕yokat:;Obdr麅 n嫳leduj獳?provincie:;;;;;;x,,
COREINFO;$COUNTRY$认为这是她的一个核心省份。;$COUNTRY$ consid锇e cette province comme 彋ant l'une de ses provinces principales. ;$COUNTRY$ betrachtet diese Provinz als Kernprovinzen ihrer Nation.;Pa雟two $COUNTRY$ uwa瘸, 瞠 jest to jedna z jego prowincji narodowych.;$COUNTRY$ considera que esta es una de sus principales provincias. ;$COUNTRY$ considera la presente una sua provincia nazionale.;$COUNTRY$ ezt az egyik k跸ponti tartom嫕y嫕ak tartja.;$COUNTRY$ tuto provincii pokl墂?za jednu ze svh hlavn獳h.;;;;;;x,
overseas;和首都没有陆路连接 ;Aucune liaison terrestre vers la capitale;钫ersee;Zamorska;Sin conexi鏮 terrestre con la capital;Oltremare;Tengerent莞;Bez pozemn珰o spojen?s hlavn璥 m鮀tem;;;;;;x,,
coastal;沿海 ;C矌i锇e;K惰te;Z dost瘼em do morza;Costero;Costiero;Tengerparti;Pob鹔麅;;;;;;x,,
non_coastal;远洋 ;Non c矌i锇e;Binnenland;Brak dost瘼u do morza;No costero;Non costiero;Nem tengerparti;Vnitrozem?;;;;;x,,
coastal_sea;近海 ;Mer littorale;K惰tensee;Morze przybrze积e;Zona costera;Mare costiero;Tengerparti;Mo鹔 u pob鹔麅;;;;;;x
tropical;热带 ;Tropical;Tropisch;Tropikalna;Tropical;Tropicale;Tr鏕usi;Tropy;;;;;;x
sea_zone;海丘 ;Zone maritime;Seezone;Obszar morski;Zona mar癃ima;Zona marittima;Tengeri;P腭mo鷭k?z鏮a;;;;;;x
land_province;陆地省份 ;Province terrestre;Landprovinz;Prowincja l钜owa;Provincia;Provincia terrestre;Sz嫫azf阛di;Suchozemsk?provincie;;;;;;x
out_of_supply;缺乏补给 ;P幯urie de ravitaillement;Kein Nachschub mehr;Brak zapas窥;Sin sums.;Scorte esaurite;Elfogyott a felszerel廥;Z嫳oby do馍y;;;;;;x
blockaded;被封锁 ;Sous blocus;Blockade;Poddana blokadzie;Bloqueado;Bloccato;Blok墂 alatt;Pod blok墂ou;;;;;;x
no_adjacent_controlled;没有控制的邻近省份 ;Aucune zone adjacente contr犨嶪;Keine Kontrolle 晒er Nachbarprovinzen;Brak kontroli nad s零iednimi prowincjami;Sin control adyacente;Nessuna zona adiacente controllata;Nincs birtokolt szomsz险;Sousedn?oblast nen?kontrolov嫕a;;;;;;x
provincial_tax_income;省份税收 ;Revenu d'imp矌 provincial;Steuereinnahmen der Provinz;Przych鏚 z podatk窥 w prowincji;Ingresos por impuestos provinciales;Entrate per tasse provinciali;Tartom嫕yi ad鏏ev彋el;Provin锊?vos z dan?;;;;;x
city_population;城市人口 ;Population de la ville;Stadtbev阛kerung;Ludno? miasta;Poblaci鏮 de la ciudad;Popolazione cittadina;V嫫os lakoss墔a;M鮀tsk?populace;;;;;;x
core;核心;Province centrale;Heimatprovinz;Prowincja narodowa;Nleo;Provincia nazionale;Mag;St鹔d;;;;;;x
occupied;被占领 ;Occup嶪;Besetzt;Okupowana;Ocupado;Occupato;Elfoglalt;Okupov嫕o;;;;;;x
revolt_risk;叛乱风险 ;Risque de r憝olte;Revoltenrisiko;Ryzyko buntu;Riesgo levant.;Rischio di rivolta;L嫙ad嫳 es幨ye;Riziko revolty;;;;;;x
nationalism;民族主义 ;Nationalisme;Nationalismus;Nacjonalizm;Nacionalismo;Nazionalismo;Nacionalizmus;Nacionalismus;;;;;;x
manpower;人力 ;Main-d'崠vre;Soldatenzahl;Si豉 ludzka;Rec. hum.;Manodopera;Munkaer?Po鋀tn?stav obyvatelstva;;;;;;x
war;战争 ;Guerre;Krieg;Wojna;Guerra;Guerra;H墎or?V嫮ka;;;;;;x
peace;和平 ;Paix;Friede;Pok铩;Paz;Pace;B幧e;M甏;;;;;;x
war_exhaustion;厌战 ;夗uisement de guerre;Kriegsm?igkeit;Wyczerpanie wojn?War Exhaustion;Sfinimento da guerra;H墎or kimerts嶲;V嫮e锊?vy鋀rp嫕?;;;;;x,,,,,,,,,,,,,,,,,,
ENABLES;启用$WHICH$。\n;Permet $WHICH$.\n ;Erm鐷licht $WHICH$.\n;Umo碛iwia: $WHICH$.\n;Permite $WHICH$.\n;Abilita $WHICH$.\n;$WHICH$ enged幨yezve.\n;Umo?uje $WHICH$.\n;;;;;;x,,,,,,,,,,,,,,,,,,
NOT_FROM_THIS_GOV;不可能从我们目前的政府形式转化这种政府类型。;Notre forme actuelle de gouvernement ne nous permet pas de passer ?ce type de gouvernement.;Von unserer aktuellen Regierungsform k霵nen wir nicht zu dieser Regierungsform wechseln.;Ta forma ustroju jest niemo碛iwa do wprowadzenia przy naszym aktualnym systemie rz钜窥.;Es imposible la conversi鏮 a este tipo de Gobierno desde nuestro actual tipo de Gobierno.;Non ?possibile passare a questa forma di governo dalla nostra forma di governo attuale;A jelenlegi korm嫕yz嫳i m鏚unkat nem tudjuk erre a t甑usa lecser幨ni.;Na tento typ vl墂y ze sou醀sn嶭o typu vl墂y p鹔j癃 nem?eme.;;;;;;x,,,,,,,,,,,,,,,,,
NO_SHIPS;没有船只 ;Aucun navire;Keine Schiffe;亩dne okr齇y nie;Ning barco;Nessuna nave;Nincsenek haj鏦;坛dn?lodi;;;;;;x,,,,,,,,,,,,,,,,,,
NOT_EXIST;$TAG$在这个时候不存在。 ;$TAG$ n'existe pas actuellement.;$TAG$ existiert zu dieser Zeit nicht;$TAG$ nie istnieje w tym momencie.;$TAG$ no existe en este momento.;$TAG$ non esiste in questo periodo.;$TAG$ ebben az id骟en nem l彋ezett.;$TAG$ v tuto chv璱i neexistuje.;;;;;;x,,,,,,,,,,,,,,,,,,
NOT_SELECT;所有玩家必须选择一个国家。 ;Tous les joueurs doivent s幨ectionner un pays.;Alle Spieler m惰sen ein Land w鄣len;Wszyscy gracze musz?wybra?pa雟two.;Todos los jugadores tienen que elegir un pa疄.;Tutti i giocatori devono scegliere un paese.;Minden j嫢幧osnak v嫮asztania kell egy 嫮lamot.;V粿chni hr掼i si mus?vybrat n嫫od.;;;;;;x,,,,,,,,,,,,,,,,,,
