xxxx;;;;;;;;;;;;;;x
MINISTER_MESSAGE_ENTRY;$TITLE$ $NAME$;$TITLE$ $NAME$;$TITLE$ $NAME$;;$TITLE$ $NAME$;;;;;;;;;X
EVENTHAPPENOTHEROPTION_3;$EVENT$;$EVENT$;$EVENT$;$EVENT$.;$EVENT$;$EVENT$,;$EVENT$;$EVENT$;;;;;;x
EVENTHAPPENOTHEROPTION_4;事件所有可能的选项中, 他们选择了;o?ils ont choisi de;wobei sie von den m鰃lichen Optionen;Spo渞骴 wszystkich mo縧iwo渃i wybrano;d髇de, entre otras opciones, decidieron;dove, tra le diverse opzioni possibili, hanno scelto;閟 a t鯾b lehet鮯間 k鰖黮 a k鰒etkez鮰 v醠asztotta:;z dostupn齝h mo瀗ost?si vybrali;;;;;;x
EVENTHAPPENOTHEROPTION_5;$OPTION$.;$OPTION$;$OPTION$;$OPTION$;$OPTION$;$OPTION$;$OPTION$;$OPTION$;;;;;;x
EVENTHAPPENOTHEROPTION_6;*;comme action ?entreprendre parmi les options possibles.;gew鋒lt haben..;jako opcj?dzia砤nia.;como curso de la de acci髇.;.;閟 cselekedett is.;jako svoji volbu.;;;;;;x
EVENTHAPPENOTHEROPTION_LOG;事件：$COUNTRY$在'$EVENT$'中选择了'$OPTION$'.;蓈閚ement : $COUNTRY$ a d閏id?de '$OPTION$' pendant '$EVENT$'.;Ereignis: $OPTION$ in $EVENT$ f黵 $COUNTRY$.;$COUNTRY$. $EVENT$. $OPTION$;Suceso: '$OPTION$' en '$EVENT$' para $COUNTRY$.;Evento: $OPTION$ per $EVENT$ in $COUNTRY$.;Esem閚y: $COUNTRY$ nemzete a/az $OPTION$ lehet鮯間et v醠asztotta erre az esem閚yre v醠aszolva: $EVENT$.;Ud醠ost: $OPTION$ v $EVENT$ pro $COUNTRY$.;;;;;;x
EVENTHAPPENOTHEROPTION_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENOTHEROPTION_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENOTHEROPTION_BTN3;查看;ALLER ?GOTO;ID?DO;Ir all?ANDARE;Menj ide:;P谽J蚑 NA;;;;;;x
EVENTHAPPENOTHEROPTION_MAP;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENOTHER_SETUP;当一个单选项的历史事件在他国发生;Lorsqu'un 関閚ement historique ?choix unique a lieu dans un autre pays.;Wenn sich in einem anderen Land etwas Historisches mit nur einer Auswahlm鰃lichkeit ereignet ?;Kiedy w innym kraju ma miejsce historyczne wydarzenie z jedyn?mo縧iw?opcj?wyboru;Cuando a otro pa韘 le ocurra un suceso hist髍ico con una 鷑ica opci髇.;Quando un evento storico a scelta singola si verifica in un altro paese.;Mikor egy t鰎t閚elmi esem閚y k鰒etkezm閚yek閚t csak egy v醠aszt醩i lehet鮯間e van egy m醩ik orsz醙nak.;Kdy?v jin?zemi dojde k historick?ud醠osti s jednou volbou.;;;;;;x
EVENTHAPPENOTHER_HEADER;$foreign_minister$报告;$foreign_minister$ a r閐ig?un rapport concernant :;;;$foreign_minister$ informa sobre;;;;;;;;;x
EVENTHAPPENOTHER_1;$COUNTRY$;$COUNTRY$.;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;;;;;;x
EVENTHAPPENOTHER_2;他们表示最近发生了;Ils nous ont parl?de;Sie erz鋒len uns 黚er das Ereignis;informuje nas o wydarzeniu:;Nos informan de los eventos de;Ci parlano dei seguenti eventi:;A k鰒etkez?esem閚yekr鮨 sz醡olt be:;Sd靗uj?n醡 informace o ud醠ostech;;;;;;x
EVENTHAPPENOTHER_3;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$,;$EVENT$;$EVENT$;;;;;;x
EVENTHAPPENOTHER_4;事件。;qui a r閏emment eu lieu dans ce pays.;das sich neulich in ihrem Land ereignet hat.;, kt髍e mia硂 miejsce niedawno w ich pa駍twie.;que han ocurrido recientemente en su pa韘.;verificatisi nel loro paese di recente.;ami nemr間 t鰎t閚t az orsz醙ukban.;kter?se pr醰?odehr醠y v jejich zemi.;;;;;;x
EVENTHAPPENOTHER_5;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENOTHER_6;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENOTHER_LOG;事件：$COUNTRY$发生了'$EVENT$'。;蓈閚ement : '$EVENT$', $COUNTRY$.;Ereignis: $EVENT$ in $COUNTRY$.;$COUNTRY$. $EVENT$.;Suceso: '$EVENT$' en $COUNTRY$.;Evento: $EVENT$ in $COUNTRY$.;Esem閚y: $EVENT$ $COUNTRY$ nemzet閚閘.;Ud醠ost: $EVENT$ v $COUNTRY$.;;;;;;x
EVENTHAPPENOTHER_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENOTHER_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENOTHER_BTN3;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_SETUP;当一个历史事件在我国发生;Lorsqu'un 関閚ement historique se produit pour nous.;Wenn sich bei uns ein historisches Ereignis abspielt.;Kiedy wydarzenie historyczne ma miejsce w naszym pa駍twie;Cuando nos ocurra un suceso hist髍ico.;Quando un evento storico si verifica da noi.;Mikor egy t鰎t閚elmi esem閚y n醠unk k鰒etkezik be;Kdy?se u n醩 odehraje historick?ud醠ost.;;;;;;x
EVENTHAPPENUS_HEADER;$foreign_minister$报告;$foreign_minister$ a r閐ig?un rapport concernant;;;$foreign_minister$ informa sobre;;;;;;;;;x
EVENTHAPPENUS_1;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;;;;;;x
EVENTHAPPENUS_2;在我国;qui s'est produit;das uns; - to zdarzy硂 si?que nos ha sucedido;si ?verificato;t鰎t閚t;stalo se;;;;;;x
EVENTHAPPENUS_3;发生了。;pour nous.;widerfahren ist.;u nas.;.;a noi.;n醠unk.;n醡.;;;;;;x
EVENTHAPPENUS_4;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_5;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_6;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_LOG;事件：玩家发生'$EVENT$'。;蓈閚ement : '$EVENT$' pour le joueur.;Ereignis: $EVENT$ f黵 Spieler.;Wydarzenie: $EVENT$ dla gracza.;Evento: '$EVENT$' para el jugador.;Evento: $EVENT$ per il giocatore.;Esem閚y: $EVENT$ a j醫閗osn醠.;Ud醠ost: $EVENT$ pro hr徼e.;;;;;;x
EVENTHAPPENUS_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENUS_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENUS_BTN3;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_MAP;*;*;*;*;*;*;*;;;;;;;x
DECISIONOTHER_SETUP;当他国执行了一项决议;Lorsqu'un autre pays applique une d閏ision.;Wenn ein anderes Land eine Entscheidung ausf黨rt.;;Cuando otro pa韘 ejecuta una decisi髇.;;;;;;;;;x
DECISIONOTHER_HEADER;$foreign_minister$报告;$foreign_minister$ a r閐ig?un rapport concernant :;;;$foreign_minister$ informa sobre;;;;;;;;;x
DECISIONOTHER_1;$COUNTRY$;$COUNTRY$.;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;;;;;;x
DECISIONOTHER_2;他们决定;Ils ont d閏id?de;Sie berichten uns von;;an decidido;;;;;;;;;x
DECISIONOTHER_3;$EVENT$!;$EVENT$ !;$EVENT$;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;;;;;;x
DECISIONOTHER_4;$DESC$;$DESC$;das in ihrem Reich k黵zlich entschieden wurde.;$DESC$;$DESC$;$DESC$;$DESC$;;;;;;;x
DECISIONOTHER_5;*;*;*;*;*;*;*;;;;;;;x
DECISIONOTHER_6;*;*;*;*;*;*;*;;;;;;;x
DECISIONOTHER_LOG;决议：$COUNTRY$执行了$EVENT$。;D閏ision : $COUNTRY$ a d閏id?de $EVENT$.;Entscheidung: $EVENT$ in $COUNTRY$.;;Decisi髇: $EVENT$ en $COUNTRY$.;;;;;;;;;x
DECISIONOTHER_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECISIONOTHER_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECISIONOTHER_BTN3;*;*;*;*;*;*;*;;;;;;;x
DECISIONOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_SETUP;当我们执行了一项决议;Lorsque nous appliquons une d閏ision.;Wenn wir eine Entscheidung ausf黨ren.;;Cuando ejecutamos una decisi髇.;;;;;;;;;x
DECISIONUS_HEADER;$foreign_minister$报告;$foreign_minister$ a r閐ig?un rapport concernant;;;?foreign_minister$ informa sobre;;;;;;;;;x
DECISIONUS_1;$EVENT$!;$EVENT$ !;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;;;;;;x
DECISIONUS_2;$DESC$;$DESC$;$DESC$;;$DESC$;;;;;;;;;x
DECISIONUS_3;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_4;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_5;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_6;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_LOG;决议：玩家执行了$EVENT$。;D閏ision : $EVENT$ pour le joueur.;Entscheidung: $EVENT$ f黵 Spieler.;;Decisi髇: $EVENT$ para el jugador.;;;;;;;;;x
DECISIONUS_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECISIONUS_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECISIONUS_BTN3;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_MAP;*;*;*;*;*;*;*;;;;;;;x
LAW_APPOINTED_SETUP;当一个新法案被通过;Lorsqu'une nouvelle loi entre en vigueur.;Wenn ein neues Gesetz verabschiedet wird.;;Cuando se promulga una nueva ley.;;;;;;;;;x
LAW_APPOINTED_HEADER;新法案被通过;Nouvelle loi en vigueur;Neues Gesetz verabschiedet;;Nueva ley promulgada;;;;;;;;;x
LAW_APPOINTED_1;$LAWNAME$;$LAWNAME$;$LAWNAME$;;$LAWNAME$;;;;;;;;;x
LAW_APPOINTED_2;被通过而成为我们新的$POSITION$;a 閠?d閏r閠閑 nouvelle $POSITION$;wurde als neues Gesetz f黵 $POSITION$ verabschiedet;;se ha promulgado como nuestra nueva $POSITION$;;;;;;;;;x
LAW_APPOINTED_3;*;*;*;;*;;;;;;;;;x
LAW_APPOINTED_4;$EFFECT$\n$DESC$;$EFFECT$\n$DESC$;$EFFECT$\n$DESC$;;$EFFECT$\n$DESC$;;;;;;;;;x
LAW_APPOINTED_5;*;*;*;;*;;;;;;;;;x
LAW_APPOINTED_6;*;*;*;;*;;;;;;;;;x
LAW_APPOINTED_LOG;我们通过了$LAWNAME$作为我们的$POSITION$。;Nous avons d閏r閞?$LAWNAME$ comme 閠ant notre $POSITION$.;Wir haben $LAWNAME$ als neues Gesetz f黵 $POSITION$ verabschiedet.;;Hemos promulgado $LAWNAME$ como nuestra $POSITION$.;;;;;;;;;x
LAW_APPOINTED_BTN1;好的;OK;OK;;Aceptar;;;;;;;;;x
LAW_APPOINTED_BTN2;好的;OK;OK;;Aceptar;;;;;;;;;x
LAW_APPOINTED_BTN3;详情;D閠ails;Details;;Detalles;;;;;;;;;x
LAW_APPOINTED_MAP;*;*;*;;*;;;;;;;;;x
TECH_ONCE_SETUP;当一个科技研究完毕;Lorsqu'une technologie importante a 閠?閠udi閑.;Wenn eine Schl黶seltechnologie erforscht wurde.;;Cuando se haya desarrollado una tecnolog韆 principal.;;;;;;;;;x
TECH_ONCE_HEADER;科技研究完毕.;Une technologie majeure a 閠?閠udi閑.;Schl黶seltechnologie erforscht.;;Tecnolog韆 principal desarrollada.;;;;;;;;;x
TECH_ONCE_1;$TYPE$;$TYPE$;$TYPE$;;$TYPE$;;;;;;;;;x
TECH_ONCE_2;$TITLE$，我们完成了$TYPE$的研究，它将为我们带来以下好处：;$TITLE$, nous avons termin?la recherche de : $TYPE$, ce qui nous donnera les avantages suivants.;$TITLE$, wir haben die Erforschung von $TYPE$ abgeschlossen, die uns die folgenden Vorz黦e bietet.;;$TITLE$, hemos finalizado la investigaci髇 sobre $TYPE$ que nos proporcionar?los siguientes beneficios.;;;;;;;;;x
TECH_ONCE_3;$EFFECT$;$EFFECT$;$EFFECT$;;$EFFECT$;;;;;;;;;x
TECH_ONCE_4;*;*;*;;*;;;;;;;;;x
TECH_ONCE_5;*;*;*;;*;;;;;;;;;x
TECH_ONCE_6;*;*;*;;*;;;;;;;;;x
TECH_ONCE_LOG;$TYPE$研究完毕。;La recherche de $TYPE$ est termin閑.;Forschung an $TYPE$ abgeschlossen.;;Investigaci髇 sobre $TYPE$ finalizada.;;;;;;;;;x
TECH_ONCE_BTN1;好的;OK;OK;;Aceptar;;;;;;;;;x
TECH_ONCE_BTN2;好的;OK;OK;;Aceptar;;;;;;;;;x
TECH_ONCE_BTN3;详情;D閠ails;Details;;Detalles;;;;;;;;;x
TECH_ONCE_MAP;*;*;*;;*;;;;;;;;;x
TECH_REPEAT_SETUP;当你提升了科技等级;Lorsque vos comp閠ences technologiques augmentent.;Wenn Sie Ihre technologische F鋒igkeiten verbessert haben.;;Cuando aumente tu habilidad tecnol骻ica.;;;;;;;;;x
TECH_REPEAT_HEADER;科技;Am閘ioration de la technologie;Technologieverbesserung;;Mejoras tecnol骻icas;;;;;;;;;x
TECH_REPEAT_1;$TYPE$升级了!;$TYPE$ am閘ior閟 !;$TYPE$ verbessert!;;vances en $TYPE$!;;;;;;;;;x
TECH_REPEAT_2;$TITLE$，我们将$TYPE$\n提升到了等级$LEVEL$，\n它将为我们带来以下好处：\n;$TITLE$, nos comp閠ences $TYPE$ se sont am閘ior閑s et sont maintenant de niveau $LEVEL$, ce qui nous donne l'avantage suivant.;$TITLE$, wir haben unsere F鋒igkeiten in $TYPE$ auf Stufe $LEVEL$ erh鰄t, was uns nun die folgenden Vorz黦e bietet.;;$TITLE$, hemos mejorado nuestras habilidades en $TYPE$ hasta el nivel $LEVEL$, lo que nos da los siguientes beneficios.;;;;;;;;;x
TECH_REPEAT_3;$EFFECT$;$EFFECT$;$EFFECT$;;$EFFECT$;;;;;;;;;x
TECH_REPEAT_4;*;*;*;;*;;;;;;;;;x
TECH_REPEAT_5;*;*;*;;*;;;;;;;;;x
TECH_REPEAT_6;*;*;*;;*;;;;;;;;;x
TECH_REPEAT_LOG;$TYPE$升级为$LEVEL$;$TYPE$ augment閟 ?$LEVEL$;$TYPE$ erh鰄t auf $LEVEL$;;$TYPE$ ha aumentado hasta $LEVEL$;;;;;;;;;x
TECH_REPEAT_BTN1;好的;OK;OK;;Aceptar;;;;;;;;;x
TECH_REPEAT_BTN2;好的;OK;OK;;Aceptar;;;;;;;;;x
TECH_REPEAT_BTN3;详情;D閠ails;Details;;Detalles;;;;;;;;;x
TECH_REPEAT_MAP;*;*;*;;*;;;;;;;;;x
WE_NUKE_SETUP;当我们在敌人的一个地区投放了原子弹;Lorsque nous larguons une bombe sur une province ennemie.;Wenn wir eine Atombombe auf eine feindliche Provinz abwerfen.;;Cuando lancemos un ataque nuclear sobre una provincia enemiga.;;;;;;;;;x
WE_NUKE_HEADER;我们扔下了一颗原子弹;Nous avons largu?une;Wir haben eine;;Hemos lanzado una;;;;;;;;;x
WE_NUKE_1;核攻击$PROV$!;bombe atomique sur la province : $PROV$;Atombombe auf $PROV$ abgeworfen;;bomba nuclear sobre $PROV$;;;;;;;;;x
WE_NUKE_2;$TITLE$\n我们在\n$PROV$\n成功地投放了一颗原子弹，\n摧毁了该地区绝大多数的工业及大量人口。;$TITLE$, nous vous signalons la r閡ssite du largage d'une bombe atomique sur la province : $PROV$. Ceci a d閠ruit la plupart de l'industrie et a fait de nombreuses victimes.;$TITLE$, wir k鰊nen vermelden, erfolgreich eine Atombombe auf $PROV$ abgeworfen zu haben. Diese hat den gr鲞ten Teil der Industrie zerst鰎t und viele Menschen get鰐et.;;$TITLE$, podemos informar de que hemos lanzado una bomba nuclear con 閤ito sobre $PROV$. Esto ha destruido la mayor韆 de la industria y ha matado a mucha gente.;;;;;;;;;x
WE_NUKE_3;$TARGET$的国家凝聚力下降了$IMPACT$。;L'unit?nationale de : $TARGET$ a chut?de $IMPACT$.;Der nationale Zusammenhalt von $TARGET$ ist um $IMPACT$ gesunken.;;La unidad nacional de $TARGET$ ha ca韉o en $IMPACT$.;;;;;;;;;x
WE_NUKE_4;*;*;*;;*;;;;;;;;;x
WE_NUKE_5;*;*;*;;*;;;;;;;;;x
WE_NUKE_6;*;*;*;;*;;;;;;;;;x
WE_NUKE_LOG;我们核打击了$PROV$，$TARGET$的国家凝聚力下降了$IMPACT$。;Nous avons atomis?la province : $PROV$, ce qui a r閐uit l'unit?nationale de : $TARGET$ de $IMPACT$.;Wir haben eine Atombombe auf $PROV$ abgeworfen und damit $TARGET$s nationalen Zusammenhalt um $IMPACT$ gesenkt.;;Hemos lanzado un ataque nuclear sobre $PROV$, reduciendo la unidad nacional de $TARGET$ en $IMPACT$.;;;;;;;;;x
WE_NUKE_BTN1;好的;OK;OK;;Aceptar;;;;;;;;;x
WE_NUKE_BTN2;好的;OK;OK;;Aceptar;;;;;;;;;x
WE_NUKE_BTN3;详情;D閠ails;Details;;Detalles;;;;;;;;;x
WE_NUKE_MAP;核弹攻击!;*;*;;*;;;;;;;;;x
NUKE_ON_US_SETUP;当他国在我们的一个地区投放了原子弹;Lorsque quelqu'un largue une bombe atomique sur l'une de nos provinces.;Wenn jemand eine Atombombe auf eine unserer Provinzen abwirft.;;Cuando alguien lanza un ataque nuclear sobre una de nuestras provincias.;;;;;;;;;x
NUKE_ON_US_HEADER;$EVIL$扔下了一颗原子弹;$EVIL$ a largu?une;$EVIL$ hat eine;;$EVIL$ ha lanzado una;;;;;;;;;x
NUKE_ON_US_1;$PROV$遭到核攻击!;bombe atomique sur la province : $PROV$;Atombombe auf $PROV$ abgeworfen;;bomba nuclear sobre $PROV$;;;;;;;;;x
NUKE_ON_US_2;$TITLE$\n我们不幸地告知您，\n$EVIL$在\n$PROV$\n投放了一颗原子弹，\n摧毁了该地区绝大多数的工业及大量人口。;$TITLE$, nous sommes navr閟 de vous apprendre que $EVIL$ a largu?une bombe atomique sur $PROV$. Ceci a d閠ruit la plupart de l'industrie et a fait de nombreuses victimes.;$TITLE$, wir m黶sen leider berichten, dass $EVIL$ eine Atombombe auf $PROV$ abgeworfen hat. Diese hat den gr鲞ten Teil der Industrie zerst鰎t und viele Menschen get鰐et.;;$TITLE$, nos entristece informar que $EVIL$ ha lanzado una bomba nuclear sobre $PROV$. Esto ha destruido la mayor韆 de la industria y ha matado a mucha gente.;;;;;;;;;x
NUKE_ON_US_3;我们的国家凝聚力下降了$IMPACT$。;Notre unit?nationale a chut?de $IMPACT$.;Unser nationaler Zusammenhalt ist um $IMPACT$ gesunken.;;Nuestra unidad nacional ha ca韉o en $IMPACT$.;;;;;;;;;x
NUKE_ON_US_4;*;*;*;;*;;;;;;;;;x
NUKE_ON_US_5;*;*;*;;*;;;;;;;;;x
NUKE_ON_US_6;*;*;*;;*;;;;;;;;;x
NUKE_ON_US_LOG;$EVIL$核打击了$PROV$，我们的国家凝聚力下降了$IMPACT$。;$EVIL$ a atomis?$PROV$, ce qui a r閐uit notre unit?nationale de $IMPACT$.;$EVIL$ hat eine Atombombe auf $PROV$ abgeworfen, was unseren nationalen Zusammenhalt um $IMPACT$ gesenkt hat.;;$EVIL$ lanz?un ataque nuclear sobre $PROV$, reduciendo nuestra unidad nacional en $IMPACT$.;;;;;;;;;x
NUKE_ON_US_BTN1;好的;OK;OK;;Aceptar;;;;;;;;;x
NUKE_ON_US_BTN2;好的;OK;OK;;Aceptar;;;;;;;;;x
NUKE_ON_US_BTN3;详情;D閠ails;Details;;Detalles;;;;;;;;;x
NUKE_ON_US_MAP;核弹攻击!;*;*;;*;;;;;;;;;x
NUKE_ON_OTHER_SETUP;当他国在敌国的一个地区投放了原子弹;Lorsque quelqu'un d'autre largue une bombe atomique sur une province ennemie.;Wenn jemand anderes eine Atombombe auf eine feindliche Provinz abwirft.;;Cuando alguien lance un ataque nuclear sobre una provincia enemiga.;;;;;;;;;x
NUKE_ON_OTHER_HEADER;$EVIL$扔下了一颗原子弹;$EVIL$ a largu?une;$EVIL$ hat eine;;$EVIL$ ha lanzado una;;;;;;;;;x
NUKE_ON_OTHER_1;核攻击$PROV$;bombe atomique sur $PROV$;Atombombe auf $PROV$ abgeworfen;;bomba nuclear sobre $PROV$;;;;;;;;;x
