xxxx;;;;;;;;;;;;;;x
market_liberal_BEL;Ã³Ò××ÔÓÉÖ÷Òå;Liberale Partij-Parti Libéral;Liberale Partij-Parti Libéral;;Liberale Partij-Parti Libéral;;;;;;;;;;x
social_liberal_BEL;Éç»á×ÔÓÉÖ÷Òå;Afgescheurde Liberalen-Libéraux Déchirés;Afgescheurde Liberalen-Libéraux Déchirés;;Afgescheurde Liberalen-Libéraux Déchirés;;;;;;;;;;x
social_democrat_BEL;Éç»áÃñÖ÷µ³;BWP-BOP;BWP-BOP;;BWP-BOP;;;;;;;;;;x
left_wing_radical_BEL;×óÒí¼¤½øÖ÷Òå;Rev.Soc.Actie-Action Soc.Rev.;Rev.Soc.Actie-Action Soc.Rev.;;Rev.Soc.Actie-Action Soc.Rev.;;;;;;;;;;x
leninist_BEL;ÁĞÄşÖ÷Òå;Lijst Van Overstraeten-Liste Van Overstraeten;Lijst Van Overstraeten-Liste Van Overstraeten;;Lijst Van Overstraeten-Liste Van Overstraeten;;;;;;;;;;x
stalinist_BEL;Ë¹´óÁÖÖ÷Òå;KPB-PCBú;KPB-PCB;;KPB-PCB;;;;;;;;;;x
national_socialist_BHU;²»µ¤¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste du Bhoutan;Nationalsolzialistische Partei Bhutans;;Partido Nacionalsocialista de Bután;;;;;;;;;;x
fascistic_BHU;²»µ¤·¨Î÷Ë¹ÁªÃË;Ligue fasciste du Bhoutan;Faschistische Liga Bhutan;;Liga Fascista de Bután;;;;;;;;;;x
paternal_autocrat_BHU;²»µ¤ºÍÆ½Óë·±ÈÙµ³;Parti de la paix et de la prospérité du Bhoutan;Friedens- und Wohlstandspartei Bhutans;;Partido de la Paz y la Prosperidad de Bután;;;;;;;;;;x
social_conservative_BHU;²»µ¤±£ÊØµ³;Parti conservateur du Bhoutan;Konservative Partei Bhutans;;Partido Conservador de Bután;;;;;;;;;;x
market_liberal_BHU;²»µ¤¹ú¼ÒÃñÖ÷µ³;Parti national démocratique du Bhoutan;Nationaldemokratische Partei Bhutans;;Partido Nacional Demócrata de Bután ;;;;;;;;;;x
social_liberal_BHU;Bhutan ²»µ¤¹ú´óµ³;Parti national du Congrès du Bhoutan;Nationalkongresspartei Bhutans;;Partido del Congreso Nacional de Bután;;;;;;;;;;x
social_democrat_BHU;ÈËÃñÃñÖ÷µ³;Parti démocratique populaire;Demokratische Volkspartei;;Partido Democrátrico del Pueblo;;;;;;;;;;x
left_wing_radical_BHU;²»µ¤ÈËÃñµ³;Parti du peuple du Bhoutan;Bhutanische Volkspartei;;Partido del Pueblo de Bután;;;;;;;;;;x
leninist_BHU;²»µ¤¹²²úµ³;Parti communiste du Bhoutan;Kommunistische Partei Bhutans;;Partido Comunista de Bután;;;;;;;;;;x
stalinist_BHU;Ë¹´óÁÖÖ÷Òå¹²²úµ³;Parti communiste bhoutanais;Kommunistische Partei von Bhutan;;Partido Comunista de Bután;;;;;;;;;;x
national_socialist_BOL;¹ú¼ÒÉç»áÔË¶¯µ³;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_BOL;²£ÀûÎ¬ÑÇ³¤Ç¹µ³;Falange Socialista Boliviana;Falange Socialista Boliviana;;Falange Socialista Boliviana;;;;;;;;;;x
paternal_autocrat_BOL;¶À²ÃÖ÷Òå,;Nueva Fuerza Republicana,;Nueva Fuerza Republicana;;Nueva Fuerza Republicana,;;;;;;;;;;x
social_conservative_BOL;Éç»á±£ÊØµ³;Unidad Cívica Solidaridad;Unidad Cívica Solidaridad;;Unidad Cívica Solidaridad;;;;;;;;;;x
market_liberal_BOL;Ã³Ò××ÔÓÉÖ÷Òå;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x
social_liberal_BOL;Éç»á×ÔÓÉÖ÷Òå;Movimiento Nacionalista Revolucionario;Movimiento Nacionalista Revolucionario;;Movimiento Nacionalista Revolucionario;;;;;;;;;;x
social_democrat_BOL;Éç»áÃñÖ÷µ³;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
left_wing_radical_BOL;×óÒí¼¤½øÖ÷Òå;Partido Obrero Revolucionario;Partido Obrero Revolucionario;;Partido Obrero Revolucionario;;;;;;;;;;x
leninist_BOL;ÁĞÄşÖ÷Òå;Partido de la Izquierda Revolucionaria;Partido de la Izquierda Revolucionaria;;Partido de la Izquierda Revolucionaria;;;;;;;;;;x
stalinist_BOL;Ë¹´óÁÖÖ÷Òå¹²²úµ³;Partido Comunista de Bolivia;Partido Comunista de Bolivia;;Partido Comunista de Bolivia;;;;;;;;;;x
national_socialist_BRA;°ÍÎ÷¹ú¼ÒÉç»áÖ÷Òåµ³;Partido Nacional Socialista Brasileira;Partido Nacional Socialista Brasileira;;Partido Nacionalsocialista Brasileira;;;;;;;;;;x
fascistic_BRA;°ÍÎ÷·¨Î÷Ë¹µ³;Ação Integralista Brasileira;Ação Integralista Brasileira;;Ação Integralista Brasileira;;;;;;;;;;x
paternal_autocrat_BRA;¶À²ÃÖ÷Òå;ARENA;ARENA;;ARENA;;;;;;;;;;x
social_conservative_BRA;Éç»á±£ÊØµ³;Partido de Representação Popular;Partido de Representação Popular;;Partido de Representação Popular;;;;;;;;;;x
market_liberal_BRA;Ã³Ò××ÔÓÉÖ÷Òå;União Democrática Nacional;União Democrática Nacional;;União Democrática Nacional;;;;;;;;;;x
social_liberal_BRA;Éç»á×ÔÓÉÖ÷Òå;Partido Social Democrático;Partido Social Democrático;;Partido Social Democrático;;;;;;;;;;x
social_democrat_BRA;°ÍÎ÷ÃñÖ÷µ³;Partido Trabalhista Brasileiro;Partido Trabalhista Brasileiro;;Partido Trabalhista Brasileiro;;;;;;;;;;x
left_wing_radical_BRA;×óÒí¼¤½øÖ÷Òå;Partido Socialismo e Liberdade;Partido Socialismo e Liberdade;;Partido Socialismo e Liberdade;;;;;;;;;;x
leninist_BRA;°ÍÎ÷ÁĞÄşÖ÷Òå¹²²úµ³;Partido Comunista do Brasil;Partido Comunista do Brasil;;Partido Comunista do Brasil;;;;;;;;;;x
stalinist_BRA;°ÍÎ÷Ë¹´óÁÖÖ÷Òå¹²²úµ³;Partido Comunista Brasileiro;Partido Comunista Brasileiro;;Partido Comunista Brasileiro;;;;;;;;;;x
national_socialist_BUL;±£¼ÓÀûÑÇ¹ú¼ÒÉç»áÖ÷Òåµ³;Ratnitsi Napreduka na Bulgarshtinata;Ratnitsi Napreduka na Bulgarshtinata;;Ratnitsi Napreduka na Bulgarshtinata;;;;;;;;;;x
fascistic_BUL;·¨Î÷Ë¹Ö÷Òå;IMRO;IMRO;;IMRO;;;;;;;;;;x
paternal_autocrat_BUL;¶À²ÃÖ÷Òå;Zveno;Zveno;;Zveno;;;;;;;;;;x
social_conservative_BUL;Éç»á±£ÊØµ³;Balgarski Zemedelski Naroden Sajuz;Balgarski Zemedelski Naroden Sajuz;;Balgarski Zemedelski Naroden Sajuz;;;;;;;;;;x
market_liberal_BUL;Ã³Ò××ÔÓÉÖ÷Òå;Demokraticheska partija;Demokraticheska partija;;Demokraticheska partija;;;;;;;;;;x
social_liberal_BUL;Éç»á×ÔÓÉÖ÷Òå;Obedinena Narodnoprogresivna Partija;Obedinena Narodnoprogresivna Partija;;Obedinena Narodnoprogresivna Partija;;;;;;;;;;x
social_democrat_BUL;Éç»áÃñÖ÷µ³;Partiya Balgarski Sotsialdemokrati;Partiya Balgarski Sotsialdemokrati;;Partiya Balgarski Sotsialdemokrati;;;;;;;;;;x
left_wing_radical_BUL;×óÒí¼¤½øÖ÷Òå;Radikalna Partija;Radikalna Partija;;Radikalna Partija;;;;;;;;;;x
leninist_BUL;ÁĞÄşÖ÷Òå;Tesnyatsi;Tesnyatsi;;Tesnyatsi;;;;;;;;;;x
stalinist_BUL;±£¼ÓÀûÑÇË¹´óÁÖÖ÷Òå¹²²úµ³;Balgarska Komunisticheska Partija;Balgarska Komunisticheska Partija;;Balgarska Komunisticheska Partija;;;;;;;;;;x
national_socialist_CGX;¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_CGX;ÖĞ¹úÇàÄêµ³;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x
paternal_autocrat_CGX;ÖĞ¹ú¹úÃñµ³;Kuomintang;Guomindang;;Kuomintang;;;;;;;;;;x
social_conservative_CGX;±£»Êµ³;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x
market_liberal_CGX;Á¢ÏÜµ³;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x
social_liberal_CGX;Î¬ĞÂµ³;Réformistes des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x
social_democrat_CGX;½ø²½µ³;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x
left_wing_radical_CGX;¹ğÏµ;Clique de Guangxi;Guangxi-Clique;;Camarilla de Guangxi;;;;;;;;;;x
leninist_CGX;ÖĞ¹ú¹¤Å©µ³;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de China;;;;;;;;;;x
stalinist_CGX;ÖĞ¹ú¹²²úµ³;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x
national_socialist_CHC;¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_CHC;ÖĞ¹úÇàÄêµ³;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x
paternal_autocrat_CHC;ÖĞ¹ú¹úÃñµ³;Kuomintang;Guomindang;;Kuomintang;;;;;;;;;;x
social_conservative_CHC;±£»Êµ³;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x
market_liberal_CHC;Á¢ÏÜµ³;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x
social_liberal_CHC;Î¬ĞÂµ³;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x
social_democrat_CHC;½ø²½µ³;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x
left_wing_radical_CHC;ÎåËÄÔË¶¯;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x
leninist_CHC;ÖĞ¹ú¹¤Å©µ³;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de China;;;;;;;;;;x
stalinist_CHC;ÖĞ¹ú¹²²úµ³;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x
national_socialist_CHI;¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_CHI;ÖĞ¹úÇàÄêµ³;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x
paternal_autocrat_CHI;ÖĞ¹ú¹úÃñµ³;Kuomintang;Guomindang;;Kuomintang;;;;;;;;;;x
social_conservative_CHI;±£»Êµ³;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x
market_liberal_CHI;Á¢ÏÜµ³;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x
social_liberal_CHI;Î¬ĞÂµ³;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x
social_democrat_CHI;½ø²½µ³;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x
left_wing_radical_CHI;ÎåËÄÔË¶¯;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x
leninist_CHI;ÖĞ¹ú¹¤Å©µ³;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de China;;;;;;;;;;x
stalinist_CHI;ÖĞ¹ú¹²²úµ³;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x
national_socialist_CSX;¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_CSX;ÖĞ¹úÇàÄêµ³;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x
paternal_autocrat_CSX;ÖĞ¹ú¹úÃñµ³;Kuomintang;Guomindang;;Kuomintang;;;;;;;;;;x
social_conservative_CSX;±£»Êµ³;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x
market_liberal_CSX;Á¢ÏÜµ³;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x
social_liberal_CSX;Î¬ĞÂµ³;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x
social_democrat_CSX;½ø²½µ³;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x
left_wing_radical_CSX;ÎåËÄÔË¶¯;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x
leninist_CSX;ÖĞ¹ú¹¤Å©µ³;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de China;;;;;;;;;;x
stalinist_CSX;ÖĞ¹ú¹²²úµ³;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x
national_socialist_CHL;ÖÇÀû¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯µ³;Movimiento Nacional Socialista de Chile;Movimiento Nacional Socialista de Chile;;Movimiento Nacionalsocialista de Chile;;;;;;;;;;x
fascistic_CHL;ÖÇÀû³¤Ç¹µ³;Falange de Chile;Falange de Chile;;Falange de Chile;;;;;;;;;;x
paternal_autocrat_CHL;¶À²ÃÖ÷Òå;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
social_conservative_CHL;ÖÇÀûÉç»á±£ÊØµ³;Partido Demócrata Cristiano de Chile;Partido Demócrata Cristiano de Chile;;Partido Demócrata Cristiano de Chile;;;;;;;;;;x
market_liberal_CHL;ÖÇÀûÃñ×åµ³;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x
social_liberal_CHL;×ÔÓÉµ³;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x
social_democrat_CHL;ÖÇÀûÉç»áÃñÖ÷µ³;Partido Socialista de Chile;Partido Socialista de Chile;;Partido Socialista de Chile;;;;;;;;;;x
left_wing_radical_CHL;×óÒí¼¤½øÖ÷Òå;Partido Radical;Partido Radical;;Partido Radical;;;;;;;;;;x
leninist_CHL;Éç»áÖ÷Òå¹¤Å©µ³;Partido Socialista Obrero;Partido Socialista Obrero;;Partido Socialista Obrero;;;;;;;;;;x
stalinist_CHL;ÖÇÀû¹²²úµ³;Partido Comunista de Chile;Partido Comunista de Chile;;Partido Comunista de Chile;;;;;;;;;;x
national_socialist_COL;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯µ³;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_COL;¸çÂ×±ÈÑÇ³¤Ç¹µ³;Falange del Colombia;Falange del Colombia;;Falange de Colombia;;;;;;;;;;x
paternal_autocrat_COL;¶À²ÃÖ÷Òå;Acción Nacional;Acción Nacional;;Acción Nacional;;;;;;;;;;x
social_conservative_COL;¸çÂ×±ÈÑÇÉç»á±£ÊØµ³;Partido Conservador Colombiano;Partido Conservador Colombiano;;Partido Conservador Colombiano;;;;;;;;;;x
market_liberal_COL;Ã³Ò××ÔÓÉÖ÷Òå;Partido Liberal Radical Colombiano;Partido Liberal Radical Colombiano;;Partido Liberal Radical Colombiano;;;;;;;;;;x
social_liberal_COL;¸çÂ×±ÈÑÇ×ÔÓÉµ³;Partido Liberal Colombiano;Partido Liberal Colombiano;;Partido Liberal Colombiano;;;;;;;;;;x
social_democrat_COL;¸çÂ×±ÈÑÇÉç»áÃñÖ÷µ³;Partido Socialdemócrata Colombiano;Partido Socialdemócrata Colombiano;;Partido Socialdemócrata Colombiano;;;;;;;;;;x
left_wing_radical_COL;¸çÂ×±ÈÑÇÀÍ¶¯µ³;Partido de los Trabajadores del Colombia;Partido de los Trabajadores del Colombia;;Partido de los Trabajadores del Colombia;;;;;;;;;;x
leninist_COL;¸çÂ×±ÈÑÇÂí¿ËË¼Ö÷Òå¹²²úµ³;Partido Comunista Marxista-Leninista del Colombia;Partido Comunista Marxista-Leninista del Colombia;;Partido Comunista Marxista-Leninista de Colombia;;;;;;;;;;x
stalinist_COL;¸çÂ×±ÈÑÇ¹²²úµ³;Partido Comunista del Colombia;Partido Comunista del Colombia;;Partido Comunista de Colombia;;;;;;;;;;x
national_socialist_COS;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯µ³;Moviemento Nacional Socialista;Moviemento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_COS;¸çË¹´ïÀè¼Ó³¤Ç¹µ³;Falange de Costa Rica;Falange de Costa Rica;;Falange de Costa Rica;;;;;;;;;;x
paternal_autocrat_COS;¹ú¼Ò¹²ºÍµ³;Partido Republicano Nacional;Partido Republicano Nacional;;Partido Republicano Nacional;;;;;;;;;;x
social_conservative_COS;Éç»áÍÅ½áµ³;Partido de Unidad Socialcristiana;Partido de Unidad Socialcristiana;;Partido de Unidad Socialcristiana;;;;;;;;;;x
market_liberal_COS;×ÔÓÉÔË¶¯µ³;Partido Movimiento Libertario;Partido Movimiento Libertario;;Partido Movimiento Libertario;;;;;;;;;;x
social_liberal_COS;Ãñ×å×ÔÓÉµ³;Partido Liberación Nacional;Partido Liberación Nacional;;Partido Liberación Nacional;;;;;;;;;;x
social_democrat_COS;Éç»áÖ÷Òåµ³;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
left_wing_radical_COS;ÈËÃñÏÈ·æµ³;Partido Vanguardia Popular;Partido Vanguardia Popular;;Partido Vanguardia Popular;;;;;;;;;;x
leninist_COS;Éç»á¹¤ÈËµ³;Partido Acción Socialist Obrera;Partido Acción Socialist Obrera;;Partido Acción Socialista Obrera;;;;;;;;;;x
stalinist_COS;¸çË¹´ïÀè¼ÓÑÇ¹²²úµ³;Partido Comunista de Costa Rica;Partido Comunista de Costa Rica;;Partido Comunista de Costa Rica;;;;;;;;;;x
national_socialist_CRO;¿ËÂŞµØÑÇ½â·ÅÔË¶¯µ³;Hrvatski oslobodilacki pokret;Hrvatski oslobodilacki pokret;;Hrvatski oslobodilacki pokret;;;;;;;;;;x
fascistic_CRO;ÎÚË¹ËşÉ³;Ustasha;Ustasha;;Ustasha;;;;;;;;;;x
paternal_autocrat_CRO;¿ËÂŞµØÑÇÈ¨Àûµ³;Hrvatska stranka prava;Hrvatska stranka prava;;Hrvatska stranka prava;;;;;;;;;;x
social_conservative_CRO;¿ËÂŞµØÑÇÉç»á±£ÊØµ³;Hrvatska seljacka stranka;Hrvatska seljacka stranka;;Hrvatska seljacka stranka;;;;;;;;;;x
market_liberal_CRO;×ÔÓÉµ³;Liberalna stranka;Liberalna stranka;;Liberalna stranka;;;;;;;;;;x
social_liberal_CRO;¿ËÂŞµØÑÇÉç»á×ÔÓÉµ³;Hrvatska socijalno liberalna stranka;Hrvatska socijalno liberalna stranka;;Hrvatska socijalno liberalna stranka;;;;;;;;;;x
social_democrat_CRO;¿ËÂŞµØÑÇÉç»áÃñÖ÷µ³µ³;Socijaldemokratska partija Hrvatske;Socijaldemokratska partija Hrvatske;;Socijaldemokratska partija Hrvatske;;;;;;;;;;x
left_wing_radical_CRO;¿ËÂŞµØÑÇ½ø²½µ³;Hrvatska napredna stranka;Hrvatska napredna stranka;;Hrvatska napredna stranka;;;;;;;;;;x
leninist_CRO;¿ËÂŞµØÑÇ¹²²úÖ÷ÒåÁªÃË;Savez komunista Hrvatske;Savez komunista Hrvatske;;Savez komunista Hrvatske;;;;;;;;;;x
stalinist_CRO;¿ËÂŞµØÑÇ¹²²úµ³;Komunisticka partija Hrvatske;Komunisticka partija Hrvatske;;Komunisticka partija Hrvatske;;;;;;;;;;x
national_socialist_CUB;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯µ³;Movimiento National Socialista;Movimiento National Socialista;;Movimiento National Socialista;;;;;;;;;;x
fascistic_CUB;¹Å°Í³¤Ç¹µ³;Falange de Cuba;Falange de Cuba;;Falange de Cuba;;;;;;;;;;x
paternal_autocrat_CUB;×ÔÖÎµ³;Partido Auténtico;Partido Auténtico;;Partido Auténtico;;;;;;;;;;x
social_conservative_CUB;¹Å°ÍÃñÖ÷µ³;Partido Demócrata Cristiano de Cuba;Partido Demócrata Cristiano de Cuba;;Partido Demócrata Cristiano de Cuba;;;;;;;;;;x
market_liberal_CUB;¹Å°Í×ÔÓÉÁªÃË;Unión Liberal Cubana;Unión Liberal Cubana;;Unión Liberal Cubana;;;;;;;;;;x
social_liberal_CUB;¹Å°Í×ÔÓÉÔË¶¯µ³;Movimiento Liberal Cubano;Movimiento Liberal Cubano;;Movimiento Liberal Cubano;;;;;;;;;;x
