xxxx;;;;;;;;;;;;;;x
north_germany_region;µÂ¹ú±±²¿;Allemagne du Nord;Norddeutschland;;Alemania del norte;;;;;;;;;x
western_poland_region;²¨À¼Î÷²¿;Pologne de l'Ouest;Westpolen;;Polonia del oeste;;;;;;;;;x
superior_air_tactician;¸ß¼¶¿Õ¾üÕ½Êõ;Tacticien aérien supérieur;Überlegener Lufttaktiker;;Táctico superior;;;;;;;;;x
AirOrdersBtn_Point;Ñ¡ÔñÒ»¸öÊ¡·İÎªÄ¿±ê¡£;Vise une seule province.;Wählt eine einzelne Provinz als Zielbereich.;;Su objetivo es una sola provincia;;;;;;;;;x
AirOrdersBtn_Region;Ñ¡ÔñÒ»¸öµØÇøÎªÄ¿±ê¡£;Vise une région.;Wählt eine Region als Zielbereich.;;Su objetivo es una región;;;;;;;;;x
AirOrdersBtn_Circle;Ñ¡ÔñÒ»¸öÈ¦×´ÇøÓòÎªÄ¿±ê¡£;Vise une zone circulaire.;Wählt ein kreisförmiges Gebiet als Zielbereich.;;Su objetivo es una zona circular;;;;;;;;;x
AirOrdersBtn_Conic;Ñ¡ÔñÒ»¸ö×¶×´ÇøÓòÎªÄ¿±ê¡£;Vise une section conique.;Wählt ein kegelförmiges Gebiet als Zielbereich.;;Su objetivo es una zona cónica;;;;;;;;;x
LEADER_COMMAND_SIZE;×î¸ß²¿¶ÓÖ¸»ÓÊı;Commandement max;Max. Befehl;;Mando máximo;;;;;;;;;x
ENABLE_TECH;ÔÊĞíÏÂÁĞ¿Æ¼¼µÄÑĞ¾¿£º;Permettre de mener des recherches sur ;Erforschung erlauben von ;;Permite investigar;;;;;;;;;x
NO_NEW_SPY;ÄãµÄ¼äµıÒÑ¾­±»ÖØĞÂ·ÖÅä£¬\nÄã±ØĞëµÈµ½§Y$DATE$§W\n²ÅÄÜÔÙ´Î¶ÔËûÃÇ½øĞĞ·ÖÅä;Vos espions ont récemment été réaffectés. Pour modifier à nouveau leur affectation, vous devez attendre la date suivante : §Y$DATE$§W.;Ihre Spione haben vor kurzem erst neue Befehle erhalten, Sie müssen §Y$DATE$§W warten, bis Sie ihnen einen neuen Auftrag erteilen können.;;Tus espías se han reasignado hace poco. Debes esperar hasta el §Y$DATE$§W para volver a reasignarlos;;;;;;;;;x
NO_MULTILOAD;ÕâÀïÃ»ÓĞ×ã¹»µÄ½¢¶ÓÀ´×°ÔØµ¥Î»¡£;Aucune flotte n'est disponible pour ces unités.;Es gibt keine Flotte, in die diese Einheiten geladen werden können.;;No hay ninguna flota para embarcar estas unidades;;;;;;;;;x
TOTAL_LOAD_WILL_BE;ÕâĞ©µ¥Î»µÄ×ÜÖØÁ¿Îª;Les unités pèsent un total de;Die Einheit wiegt insgesamt;;Las unidades tienen un peso total de;;;;;;;;;x
MUL_LOAD_ONTO;×°ÔØÕâĞ©µ¥Î»µ½;Charger ces unités sur;Diese Einheiten laden auf;;Embarcar estas unidades en;;;;;;;;;x
CURRENT_NUMBER_OF_DIVISIONS;(µ±Ç°§Y$CURRENT$§W)\n;(Actuellement : §Y$CURRENT$§W)\n;(Im Moment §Y$CURRENT$§W)\n;;(Actualmente §Y$CURRENT$§W)\n;;;;;;;;x;
NO_REPLACE_MINISTER;Ã»ÓĞÆäËûºòÑ¡ÈË¡£;Pas d'autres candidats.;Keine anderen Kandidaten;;No hay otros candidatos;;;;;;;;;x
PROV_VIEW_MULTI;Ñ¡ÔñÁË¶à¸öÊ¡·İ($NUM$);Sélections multiples ($NUM$);Mehrere ausgewählt($NUM$);;Selección múltiple ($NUM$);;;;;;;;;x
UW_STRATDEPLOYMENT_DELAY;Õâ¸öµ¥Î»¸Õ¸Õ¾­¹ıÁËÕ½ÂÔ×ªÒÆ£¬ÏÖÔÚÕıÔÚÖØ×é¡£\nÔÚ´ËºóµÄ§Y$HOURS$§WĞ¡Ê±ÄÚËüÎŞ·¨Ö´ĞĞÆäËûÃüÁî¡£\nÎÒÃÇÔ¤¼ÆËûÃÇ½«ÓÚ§Y$DATE$§W×¼±¸ºÃÔÙ´Î·¢¶¯½ø¹¥¡£;Cette unité a récemment fait l'objet d'un redéploiement stratégique et est encore en cours de réorganisation. Elle ne pourra exécuter aucun ordre pendant §Y$HOURS$§W heure(s). Nous espérons qu'elle sera en mesure de participer à une offensive à la date suivante : §Y$DATE$§W.;Diese Einheit hat ihre strategische Ausrichtung kürzlich geändert und befindet sich noch in der Reorganisation. Sie kann §Y$HOURS$§W Stunde(n) lang keine Befehle ausführen. Sie wird vermutlich in §Y$DATE$§W wieder für Offensiven zur Verfügung stehen.;;La unidad acaba de realizar un redespliegue estratégico y está reorganizándose. Durante la(s) siguiente(s) §Y$HOURS$§W hora(s) no podrá conseguir órdenes. Creemos que volverá a estar disponible para atacar el §Y$DATE$§W.;;;;;;;;x;
DIPLOEXPIRE_SETUP;µ±ÎÒÃÇµÄÍâ½»Ó°Ïì¹ıÆÚ;Lorsque l'un de nos accords diplomatiques expire;Wenn eines unserer diplomatischen Abkommen ausläuft;;Al expirar uno de nuestros acuerdos diplomáticos;;;;;;;;;x
DIPLOEXPIRE_HEADER;$foreign_minister$ ±¨¸æ;$foreign_minister$ déclare;erstattet $foreign_minister$ dem;;$foreign_minister$ informa;;;;;;;;;x
DIPLOEXPIRE_1;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$ Bericht.;;$MONARCHTITLE$,;;;;;;;;;x
DIPLOEXPIRE_2;À´×Ô $RECIPIENT$µÄ´óÊ¹;Un ambassadeur de $RECIPIENT$;Ein Botschafter von $RECIPIENT$;;Un embajador de $RECIPIENT$;;;;;;;;;x
DIPLOEXPIRE_3;Í¨ÖªÎÒÃÇÏò;nous informe que nos tentatives de;hat uns in Kenntnis gesetzt, dass unsere Bemühungen, zu;;nos informa de que nuestros esfuerzos por;;;;;;;;;x
DIPLOEXPIRE_4;$ACTION$µÄÓ°Ïì;$ACTION$;$ACTION$;;$ACTION$;;;;;;;;;x
DIPLOEXPIRE_5;ÒÑ¾­¹ıÆÚÁË¡£;ont expiré.;abgelaufen sind.;*;ha expirado;*;*;;;;;;;x,,,,,,
DIPLOEXPIRE_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,
DIPLOEXPIRE_LOG;ÎÒÃÇÍ£Ö¹ÁË$ACTION$µÄÅ¬Á¦¡£;Nous avons cessé toute tentative de $ACTION$.;Wir haben unsere Bemühungen zu $ACTION$ eingestellt.;;Hemos cesado en nuestros esfuerzos por $ACTION$.;;;;;;;;;x
DIPLOEXPIRE_BTN1;ºÃµÄ;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
DIPLOEXPIRE_BTN2;ºÃµÄ;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
DIPLOEXPIRE_BTN3;²é¿´;Go to;Gehe zu;IdŸ do;Ir a;Andare;Menj ide:;Pøejít na;;;;;;x
DIPLOEXPIRE_MAP;*;*;*;*;*;*;*;;;;;;;x
DIPLOEXPIRE_ALIGN;¿¿Ïò§Y$FACTION$§W;S'aligner avec §Y$FACTION$§W;Mit §Y$FACTION$§W ausrichten;;Alinearse con la facción: §Y$FACTION$§W;;;;;;;;;x
LIMITED_WARDESC;ÓĞÏŞÕ½Õù²»»áÇ¿ÇóÄãµÄÃËÓÑÍ¬ÑùĞûÕ½¡£;Une guerre limitée n'obligera pas vos alliés à déclarer la guerre.;Ein begrenzter Krieg zwingt Ihre Verbündeten nicht dazu, ebenfalls eine Kriegserklärung abzugeben.;;Una guerra limitada no obligará a tus aliados a declarar la guerra;;;;;;;;;x
SLIDER_LOCKED_TOOLTIP;ÒÑËø¶¨£¬ÓÒ»÷Êó±ê½â³ıËø¶¨¡£;Verrouillé. Faites un clic droit pour déverrouiller.;Gesperrt, entsperren mit Rechtsklick.;;Bloqueado, haz clic derecho para desbloquear;;;;;;;;;x
SLIDER_UNLOCKED_TOOLTIP;ÓÒ»÷Êó±êÒÔËø¶¨¡£;Faites un clic droit pour verrouiller.;Rechtsklick zum Sperren.;;Haz clic derecho para bloquear;;;;;;;;;x
IS_BOUGHT_WITH_DEBT;Õ®ÎñÓÃÓÚ´ËÏî½»Ò×¡£;La dette est utilisée pour cet accord.;Für diesen Vorgang ist eine Schuldenaufnahme erforderlich.;;En este acuerdo se utiliza la deuda;;;;;;;;;x
DETECTED_SPY_ACTIONS;ÎÒÃÇÒÑ¾­Õì²éµ½»îÔ¾ÓÚÎÒ¹ú¾³ÄÚµÄÍâ¹ú¼äµı¡£;Nous avons repéré une activité d'espionnage étrangère dans notre pays.;Wir haben ausländische Spionageaktivitäten in unserem Land entdeckt.;;Hemos detectado espías enemigos en nuestro país;;;;;;;;;x
HOSTILE_SPY_ACTION;µĞ¶ÔĞĞ¶¯;Action hostile;Feindliche Aktivitäten;;Acción hostil;;;;;;;;;x
FRIENDLY_SPY_ACTION;ÓÑºÃĞĞ¶¯;Action amie;Verbündete Aktivitäten;;Acción amistosa;;;;;;;;;x
EVTNAME2603;°®µÂ»ª°ËÊÀÍËÎ»;The Abdication of Edward VIII;Die Abdankung Edwards VIII;;La abdicación de Edward VIII;;;;;;;;;x
EVTDESC2603;ÔÚ³ÉÎª¹úÍõÒÔÇ°£¬°®µÂ»ª°ËÊÀ¹ı×ÅÃÀºÃµÄÉú»î¡£1934Äê£¬Ëû\nÔÚÒ»ÏµÁĞ¹«ÎñÖ®Ç°°®ÉÏÁËÒ»Î»ÒÑ»éÃÀ¹úÅ®×ÓÍßÀöË¿¡¤ĞÁÆÕÉ­\nÅ®Ê¿¡£°®µÂ»ª°ËÊÀÓÚ1936ÄêÒ»ÔÂµÇÉÏÁËÁªºÏÍõ¹úµÄÍõ×ù¡£²»\n¾Ãºó£¬ĞÁÆÕÉ­Å®Ê¿ÓëÇ°·òÀë»éÁË£¬²¢ÇÒ°®µÂ»ªÒ²¿ªÊ¼Ã÷È·±í\nÊ¾Ï£ÍûÓëËı½á»é¡£Ê×ÏàË¹Ì¹Àû¡¤±«µÂÎÂÊÔÍ¼ÒÔÕâ×®»éÊÂ¡ª¡ª\nĞÁÆÕÉ­Å®Ê¿´ËÇ°ÒÑ¾­Àë»é¹ıÒ»´ÎÁË¡ª¡ª½«¶Ô»ÊÊÒÍ³ÖÎ´øÀ´µÄ\nÆÆ»µÀ´Ëµ·ş°®µÂ»ª£¬µ«ËûµÄÅ¬Á¦Ê§°ÜÁË¡£ËùÓĞ³¢ÊÔÈ°×è¹úÍõ\nµÄÅ¬Á¦¶¼Ê§°ÜÁË£¬ÔÚ1936ÄêÊ®¶şÔÂÈıÈÕ£¬Õâ³¡Î£»úÎª¹«ÖÚËù\nÖª¡£Ò»ÖÜÒÔºó£¬°®µÂ»ª°ËÊÀÍËÎ»²¢ÓÉËûµÄĞÖµÜ°¢²®ÌØ¼ÌÎ»£¬\n¼´ÊÇÇÇÖÎÁùÊÀ¡£°®µÂ»ª³ÉÎªÎÂÉ¯¹«¾ô²¢ÓÚ1937ÄêÓëÍßÀöË¿¡¤\nĞÁÆÕÉ­³É»é¡£;Even before he became king, Edward VIII lived the good life. He'd already had a number of affairs before falling in love with a married American woman, Mrs Wallis Simpson, in 1934. Edward VIII ascended to the throne of the United Kingdom in January 1936. Soon afterward, Mrs Simpson obtained a divorce from her former husband and Edward's intent to marry her became clear. Prime Minister Stanley Baldwin tried to convince Edward of the damage the marriage would cause to the monarchy - Mrs Simpson already divorced once before - but his attempts failed. All further efforts to dissuade the King were fruitless, and on December 3, 1936, the crisis became public knowledge. A week later, Edward VIII abdicated and was succeeded by his brother Albert, who took the name of George VI. Edward was made Duke of Windsor and married Wallis Simpson in 1937.;Auch bevor er König wurde, hatte Edward VIII ein gutes Leben. Er hatte bereits einige Affären, bevor er sich 1934 in eine verheiratete amerikanische Frau verliebte, Mrs Wallis Simpson. Edward VIII bestieg den britischen Thron im Januar 1936. Kurz darauf liess sich Mrs Simpson von ihrem Ehemann scheiden und die Heiratsabsicht des Königs wurde deutlich. Premierminister Stanley Baldwin versuchte, Edward von dem Schaden für die Monarchie zu überzeugen, den diese - für Simpson bereits die dritte - Hochzeit anrichten würde, jedoch vergebens. Alle weiteren Versuche, den König von seinem Vorhaben abzubringen waren nutzlos, und so gelang die Krise am 3. Dezember 1936 an die Öffentlichkeit. Eine Woche später dankte Edward VIII ab und wurde von seinem Bruder Albert ersetzt, welcher den Namen George VI annahm. Edward wurde Duke von Windsor und heiratete Wallis Simpson 1937.;;Incluso antes de convertirse en Rey, Edward VIII era un vividor. Ya había tenido un buen número de affairs antes de enamorarse de una mujer norteamericana casada, la Sra. Wallis Simpson, en 1934. Edward VIII ascendió al trono del Reino Unido en Enero de 1936. Cuando poco después, la Sra. Simpson obtuvo el divorcio de su anterior marido, quedó claro que Edward tenía intención de casarse con ella. El Primer Ministro Stanley Baldwin trató hacerle ver el daño que ese matrimonio causaría a la monarquía - la Sra. Simpson ya se había divorciado una vez antes - pero fracasó en su intento. Todos los posteriores intentos de disuadir al monarca fueron infructuosos, y el 3 Diciembre de 1936, la crisis se hizo de dominio público. Una semana más tarde, Edward VIII abdicó y fue sucedido por su hermano Albert, que tomó el nombre de George VI. Edward fue nombrado Duque de Windsor y se casó con Wallis Simpson en 1937.;;;;;;;;;x
EVTOPTA2603;ºÃµÄ;OK;OK;;Aceptar;;;;;;;;;x
UNITARRIVED_LAND_SETUP;µ±ÎÒÃÇµÄÒ»¸öÂ½¾üµ¥Î»µ½´ïÁËËüµÄÄ¿µÄµØ;Lorsque l'une de nos unités terrestres arrive à destination;Wenn eine unserer Landeinheiten ihr Ziel erreicht, ;;Al llegar a su destino una de nuestras unidades terrestres;;;;;;;;;x
UNITARRIVED_LAND_HEADER;$chief_of_staff$ ±¨¸æ;$chief_of_staff$ déclare;erstattet der $chief_of_staff$ Bericht;;$chief_of_staff$ informa;;;;;;;;;x
UNITARRIVED_LAND_1;$TYPE$ µ½´ïÁË£¡;$TYPE$ arrivé(e) !;$TYPE$ eingetroffen!;;¡$TYPE$ ha llegado!;;;;;;;;;x
alert_mobilized_in_peace_instant;§R¹ú¼ÒÔÚºÍÆ½Ê±ÆÚ·¢ÆğÁË¶¯Ô±!§W;§RLe pays est mobilisé en temps de paix !§W;§RCountry mobilisiert in Friedenszeiten!§W;;¡§RCountry se ha movilizado en tiempo de paz!§W;;;;;;;;;x
alert_mobilized_in_peace_delayed;¶¯Ô±»á¸¶³ö¸ß°ºµÄ´ú¼Û¡£;La mobilisation coûte très cher.;Eine Mobilisierung ist äußerst kostspielig.;;La movilización es muy costosa.;;;;;;;;;x
DCG_REINFORCE_BONUS;ËùÓĞµÄÔöÔ®ÒÑ¾­Òò³õ²½¶¯Ô±¶ø¼Ó³ÉÁË§G$VAL$§W¡£;Tous les renforts sont multipliés par §G$VAL$§W à partir de la mobilisation initiale.;Alle Verstärkungseinheiten werden gegenüber der ursprünglichen Mobilisierung um den Wert §G$VAL$§W vervielfacht.;;Todos los refuerzos se multiplican por §G$VAL$§W por la movilización inicial;;;;;;;;;x
POL_MOBILIZE_DRO_V2;ÕâÑù×öµÄºÃ´¦ÊÇÈÃÎÒÃÇµÄºó±¸²¿¶Ó±øÁ¦Öğ²½Ôö¼Óµ½Õı³£µÄ±ê\n×¼£¬ÏàÓ¦µÄÏû·ÑÆ·Éú²úµÄĞèÇóÒ²±äµÃ¸ü¶àÁË¡£Í¬Ê±ËüÒ²¸øËù\nÓĞµÄºó±¸²¿¶ÓÌá¹©ÁË§G$DAYS$§WÌìµÄ½±Àø¡£\n;L'avantage est que nos troupes de réserve vont progressivement se renforcer tandis que la demande de biens de consommation produits augmentera. Tous les renforts bénéficieront également d'un bonus pendant §G$DAYS$§W jours.;So gewinnen unsere Reservetruppen langsam an Stärke, bis sie eine reguläre Stufe erreicht haben. Gleichzeitig wird die Nachfrage nach produzierten Konsumgütern angekurbelt. Außerdem erhalten alle Verstärkungseinheiten §G$DAYS$§W Tage lang einen Bonus.;;Esto tiene la ventaja de que las tropas de reserva aumentarán lentamente su fuerza hasta alcanzar los niveles regulares, pero también aumentará la demanda de bienes de consumo. Además, proporcionará una bonificación a los refuerzos durante §G$DAYS$§W días.;;;;;;;;;x
UW_MOBILIZED_RESERVE_INFO;ÕâÊÇ¸öÔ¤±¸ÒÛµ¥Î»¡£ËüÒÑ±»¶¯Ô±²¢½«±øÁ¦²¹³äµ½ÉÏÏŞ¡£;Cette unité est une unité de réserve. Elle est mobilisée et va se renforcer au maximum.;Diese Einheit ist eine Reserveeinheit. Sie ist mobilisiert und wird durch Verstärkungseinheiten auf die volle Stärke gebracht.;;Esta es una unidad de reserva. Está movilizada y se irá reforzando hasta alcanzar su fuerza completa.;;;;;;;;;x
NO_WAR_MILITARY_ACCESS;ÓµÓĞ¾üÊÂÍ¨ĞĞÈ¨Ê±ÎŞ·¨¿ªÊ¼Ò»³¡Õ½Õù¡£;Impossible de déclencher une guerre avec un accès militaire.;Ohne Militärzugriff kann kein Krieg geführt werden.;;No se puede iniciar una guerra teniendo acceso militar.;;;;;;;;;x
UNITARRIVED_LAND_2;ÎÒÃÇµÄ $TYPE$ ;notre $TYPE$ de;Unsere $TYPE$-Einheit;;nuestra unidad de $TYPE$ de;;;;;;;;;x
UNITARRIVED_LAND_3;$NAME$;$NAME$;$NAME$;;$NAME$;;;;;;;;;x
UNITARRIVED_LAND_4;ÒÑ¾­°²È«µ½´ïÁË;est bien arrivé(e) en;ist sicher eingetroffen in;;ha llegado a;;;;;;;;;x
UNITARRIVED_LAND_5;$PROV$;$PROV$;$PROV$;;$PROV$;;;;;;;;;x
UNITARRIVED_LAND_6;ËûÃÇÔÚµÈ´ı½øÒ»²½µÄÃüÁî;Attend les ordres;Sie erwarten weitere Befehle.;;Está esperando nuevas órdenes;;;;;;;;;x
UNITARRIVED_LAND_LOG;$NAME$ µ½´ïÁË $PROV$;$NAME$ est arrivé(e) en $PROV$;$NAME$ ist in $PROV$ eingetroffen;;$NAME$ ha llegado a $PROV$;;;;;;;;;x
UNITARRIVED_LAND_BTN1;ºÃµÄ;OK;OK;;Aceptar;;;;;;;;;x
UNITARRIVED_LAND_BTN2;ºÃµÄ;OK;OK;;Aceptar;;;;;;;;;x
UNITARRIVED_LAND_BTN3;²é¿´;ALLER A;GEHE ZU;;Ir a;;;;;;;;;x
UNITARRIVED_LAND_MAP;*;*;*;;*;;;;;;;;;x
UNITARRIVED_NAVAL_SETUP;µ±ÎÒÃÇµÄÒ»¸öº£¾üµ¥Î»µ½´ïÁËËüµÄÄ¿µÄµØ;Lorsque l'une de nos unités navales arrive à destination;Wenn eine unserer Marineeinheiten ihr Ziel erreicht, ;;Al llegar a su destino una de nuestras unidades navales;;;;;;;;;x
UNITARRIVED_NAVAL_HEADER;$chief_of_staff$ ±¨¸æ;$chief_of_staff$ déclare;erstattet der $chief_of_staff$ Bericht;;$chief_of_staff$ informa;;;;;;;;;x
UNITARRIVED_NAVAL_1;$TYPE$ µ½´ïÁË£¡;$TYPE$ arrivé(e) !;$TYPE$ eingetroffen!;;¡$TYPE$ ha llegado!;;;;;;;;;x
UNITARRIVED_NAVAL_2;ÎÒÃÇµÄ $TYPE$ ;notre $TYPE$ de;Unsere $TYPE$-Einheit;;nuestra unidad de $TYPE$ de;;;;;;;;;x
UNITARRIVED_NAVAL_3;$NAME$;$NAME$;$NAME$;;$NAME$;;;;;;;;;x
UNITARRIVED_NAVAL_4;ÒÑ¾­°²È«µ½´ïÁË;est bien arrivé(e) en;ist sicher eingetroffen in;;ha llegado a;;;;;;;;;x
UNITARRIVED_NAVAL_5;$PROV$;$PROV$;$PROV$;;$PROV$;;;;;;;;;x
UNITARRIVED_NAVAL_6;ËûÃÇÔÚµÈ´ı½øÒ»²½µÄÃüÁî;Attend les ordres;Sie erwarten weitere Befehle.;;Está esperando nuevas órdenes;;;;;;;;;x
UNITARRIVED_NAVAL_LOG;$NAME$ µ½´ïÁË $PROV$;$NAME$ est arrivé(e) en $PROV$;$NAME$ ist in $PROV$ eingetroffen;;$NAME$ ha llegado a $PROV$;;;;;;;;;x
UNITARRIVED_NAVAL_BTN1;ºÃµÄ;OK;OK;;Aceptar;;;;;;;;;x
UNITARRIVED_NAVAL_BTN2;ºÃµÄ;OK;OK;;Aceptar;;;;;;;;;x
UNITARRIVED_NAVAL_BTN3;²é¿´;ALLER A;GEHE ZU;;Ir a;;;;;;;;;x
UNITARRIVED_NAVAL_MAP;*;*;*;;*;;;;;;;;;x
UNITARRIVED_AIR_SETUP;µ±ÎÒÃÇµÄÒ»¸ö¿Õ¾üµ¥Î»µ½´ïÁËËüµÄÄ¿µÄµØ;Lorsque l'une de nos unités aérienne arrive à destination;Wenn eine unserer Lufteinheiten ihr Ziel erreicht, ;;Al llegar a su destino una de nuestras unidades aéreas;;;;;;;;;x
UNITARRIVED_AIR_HEADER;$chief_of_staff$ ±¨¸æ;$chief_of_staff$ déclare;erstattet der $chief_of_staff$ Bericht;;$chief_of_staff$ informa;;;;;;;;;x
UNITARRIVED_AIR_1;$TYPE$ µ½´ïÁË£¡;$TYPE$ arrivé(e) !;$TYPE$ eingetroffen!;;¡$TYPE$ ha llegado!;;;;;;;;;x
UNITARRIVED_AIR_2;ÎÒÃÇµÄ $TYPE$ ;notre $TYPE$ de;Unsere $TYPE$-Einheit;;nuestra unidad de $TYPE$ de;;;;;;;;;x
UNITARRIVED_AIR_3;$NAME$;$NAME$;$NAME$;;$NAME$;;;;;;;;;x
UNITARRIVED_AIR_4;ÒÑ¾­°²È«µ½´ïÁË;est bien arrivé(e) en;ist sicher eingetroffen in;;ha llegado a;;;;;;;;;x
UNITARRIVED_AIR_5;$PROV$;$PROV$;$PROV$;;$PROV$;;;;;;;;;x
UNITARRIVED_AIR_6;ËûÃÇÔÚµÈ´ı½øÒ»²½µÄÃüÁî;Attend les ordres;Sie erwarten weitere Befehle.;;Está esperando nuevas órdenes;;;;;;;;;x
UNITARRIVED_AIR_LOG;$NAME$ µ½´ïÁË $PROV$;$NAME$ est arrivé(e) en $PROV$;$NAME$ ist in $PROV$ eingetroffen;;$NAME$ ha llegado a $PROV$;;;;;;;;;x
UNITARRIVED_AIR_BTN1;ºÃµÄ;OK;OK;;Aceptar;;;;;;;;;x
UNITARRIVED_AIR_BTN2;ºÃµÄ;OK;OK;;Aceptar;;;;;;;;;x
UNITARRIVED_AIR_BTN3;²é¿´;ALLER A;GEHE ZU;;Ir a;;;;;;;;;x
UNITARRIVED_AIR_MAP;*;*;*;;*;;;;;;;;;x
RELEASE_VASSAL_EFFECT;§Y$TARGET$§WÒÑ¾­²»ÔÙÊÇÒ»¸ö¿şÀÜ¹úÁË¡£\n;§Y$TARGET$§W ne sera plus une marionnette.\n;§Y$TARGET$§W ist keine Marionette mehr.\n;;§Y$TARGET$§W no seguirá siendo un títere.\n;;;;;;;;;x
EVTNAME521;¹ú¼ÒÖØ½¨;Restructuration nationale;Nationale Umstrukturierung;;Reestructuración nacional;;;;;;;;;x
