xxxx;;;;;;;;;;;;;;x
MESSAGE_HEAD_GOV;安全部长报告;Le ministre de la s閏urit?rapporte que;Der Minister f黵 innere Sicherheit meldet;;El Ministro de Seguridad informa;;;;;;;x;;,,,,,,
DECLWAR_5;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;;;;;;;x,,,,,,
DECLWAR_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,
DECLWAR_LOG;$AGRESSOR$对我们宣战!;$AGRESSOR$ nous a d閏lar?la guerre !;$AGRESSOR$ hat uns den Krieg erkl鋜t!;$AGRESSOR$ wypowiada nam wojn?;?AGRESSOR$ nos ha declarado la guerra!;$AGRESSOR$ ci ha dichiarato guerra!;$AGRESSOR$ hadat 鼁ent nek黱k!;$AGRESSOR$ n醡 vyhl醩il v醠ku!;;;;;;x,,,,,,
DECLWAR_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
DECLWAR_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
DECLWAR_BTN3;查看;Aller ?查看;Id?do;Ir all?Andare;Menj ide:;P鴈j韙 na;;;;;;x,,,,,,
DECLWAR_MAP;战争!;D蒀LARATION DE GUERRE !;KRIEG!;WOJNA!;UERRA!;GUERRA!;H罛OR?;V罫KA!;;;;;;x,,,,,,
DECLWAROTHER_SETUP;当某国对他国宣战;Quand une nation d閏lare la guerre ?une autre;Wenn ein Land einem anderen Land den Krieg erkl鋜t;Kiedy jaki?kraj wypowiada wojn?innemu pa駍twu;Cuando una naci髇 declare la guerra a otra naci髇;Quando una nazione dichiara guerra a un'altra nazione;Mikor egy nemzet hadat 鼁en egy m醩ik nemzetnek;Kdy?n醨od vyhl醩?v醠ku jin閙u n醨odu;;;;;;x,,,,,,
DECLWAROTHER_HEADER;$foreign_minister$报告;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x,,,,,,
DECLWAROTHER_1;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;;;;;;x,,,,,,
DECLWAROTHER_2;$MONARCHTITLE$，$AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$;$AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $BADWORD$;Vez閞黱k, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;;;;;;x
DECLWAROTHER_3;发动了一场战争;a d閏lar?la guerre;hat ihrem neuen Feind;wypowiedzia?wojn?;ha declarado la guerra;hanno dichiarato guerra;hadat 鼁ent;vyhl醩il v醠ku;;;;;;x,,,,,,
DECLWAROTHER_4;以征服他们新的敌人;?ses nouveaux ennemis;den Krieg erkl鋜t;Jego nowym wrogiem jest:;a su nuevo enemigo;al loro nuovo nemico;閟 韌y 鷍 ellenfelet szerzett a k鰒etkez?szem閘y閎en:;sv齧 neptel鵰;;;;;;x,,,,,,
DECLWAROTHER_5;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$.;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x,,,,,,
DECLWAROTHER_6;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;;;;;;;x,,,,,,
DECLWAROTHER_LOG;$AGRESSOR$对$DEFENDER$宣战。;$AGRESSOR$ a d閏lar?la guerre ?$DEFENDER$.;$AGRESSOR$ hat $DEFENDER$ den Krieg erkl鋜t.;Pa駍two $AGRESSOR$ wypowiedzia硂 wojn?pa駍twu $DEFENDER$.;?AGRESSOR$ nos ha declarado la guerra!;$AGRESSOR$ ha dichiarato guerra a $DEFENDER$.;$AGRESSOR$ hadat 鼁ent a k鰒etkez鮪ek: $DEFENDER$.;$AGRESSOR$ vyhl醩il v醠ku $DEFENDER$.;;;;;;x,,,,,,
DECLWAROTHER_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
DECLWAROTHER_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
DECLWAROTHER_BTN3;查看;Aller ?查看;Id?do;Ir all?Andare;Menj ide:;P鴈j韙 na;;;;;;x
DECLWAR_LIMITED;这场战争是场有限战争。;Cette guerre est un conflit limit?;Dies ist ein eingeschr鋘kter Krieg.;;Esta es una guerra limitada.;;;;;;;;;x
WEDECLWAR_SETUP;当我们对他国宣战;Quand nous d閏larons la guerre ?une autre nation;Wenn wir einem anderen Land den Krieg erkl鋜en;Kiedy wypowiadamy wojn?innemu pa駍twu;Cuando declaramos la guerra a otra naci髇;Quando noi dichiariamo guerra a un'altra nazione;Mikor mi 鼁en黱k hadat egy m醩ik nemzetnek;Kdy?my vyhl醩韒e v醠ku jin閙u n醨odu;;;;;;x
WEDECLWAR_HEADER;$foreign_minister$报告;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x
WEDECLWAR_1;我们已准备用战争的方式征服;Nous avons d閏lar?la guerre ?Wir haben Krieg erkl鋜t an;$AGRESSOR$;Declaramos la guerra a ;Abbiamo dichiarato guerra a;Hadat 鼁ent黱k a k鰒etkez鮪ek:;Vyhl醩ili jsme v醠ku;;;;;;x
WEDECLWAR_2;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x
WEDECLWAR_3;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;;;;;;;x
WEDECLWAR_4;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_5;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_6;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_LOG;我们已对$DEFENDER$宣战。;Nous avons d閏lar?la guerre ?$DEFENDER$.;Wir haben $DEFENDER$ den Krieg erkl鋜t.;Wypowiedzieli渕y wojn?$DEFENDER$.;?AGRESSOR$ nos ha declarado la guerra!;Abbiamo dichiarato guerra a $DEFENDER$.;Hadad 鼁ent黱k a k鰒etkez鮪ek: $DEFENDER$.;Vyhl醩ili jsme v醠ku $DEFENDER$.;;;;;;x
WEDECLWAR_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
WEDECLWAR_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
WEDECLWAR_BTN3;查看;Aller ?查看;Id?do;Ir all?Andare;Menj ide:;P鴈j韙 na;;;;;;x
WEDECLWAR_MAP;战争!;D蒀LARATION DE GUERRE !;KRIEG!;WOJNA!;UERRA!;GUERRA!;H罛OR?;V罫KA!;;;;;;x
MILALLACCEPT_SETUP;当某国同意你提出的军事同盟的建议;Quand une nation accepte votre proposition d'alliance militaire;Wenn ein Land Ihren Milit鋜b黱dnisvorschlag annimmt;Kiedy jaki?kraj przyjmuje nasz?propozycj?zawarcia sojuszu wojskowego;Cuando una naci髇 acepte tu propuesta de alianza militar;Quando una nazione accetta la tua proposta di alleanza militare;Mikor egy nemzet elfogadja a katonai sz鰒ets間 aj醤latodat;Kdy?n醨od p鴌jme va歩 nab韉ku na vojenskou alianci;;;;;;x
MILALLACCEPT_HEADER;$foreign_minister$ 报告;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x,,,,,,
MILALLACCEPT_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x,,,,,,
MILALLACCEPT_2;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;Pa駍two $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;;;;;x
MILALLACCEPT_3;接受了;a accept?akzeptierte;zgadza si?;ha aceptado;ha accettato;elfogadta;p鴌jal;;;;;;x,,,,,,
MILALLACCEPT_4;我们的邀请以加入我们的;notre offre de rejoindre;unsere Einladung zu einem;wej滄 do;nuestra oferta de entrar en una;di entrare nella nostra;vel黱k k鰐end?na歩 na b韉ku na uzav鴈n?;;;;;x,,,,,,
MILALLACCEPT_5;军事同盟;une alliance militaire;Milit鋜b黱dnis;sojuszu wojskowego.;Alianza militar;alleanza militare.;katonai sz鰒ets間et.;vojensk?aliance;;;;;;x,,,,,,
MILALLACCEPT_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,
MILALLACCEPT_LOG;$RECIPIENT$加入了我们的军事同盟。;$RECIPIENT$ a rejoint notre alliance militaire.;$RECIPIENT$ trat unserem Milit鋜b黱dnis bei.;Pa駍two $RECIPIENT$ wchodzi do naszego sojuszu wojskowego.;$RECIPIENT$ ha entrado en nuestra alianza militar.;$RECIPIENT$ ?entrato nella nostra alleanza militare.;$RECIPIENT$ katonai sz鰒ets間re l閜ett vel黱k.;$RECIPIENT$ p鴌jal n釟 n醰rh na vojenskou alianci.;;;;;;x,,,,,,
MILALLACCEPT_BTN1;太完美了!;Parfait !;Perfekt!;寃ietnie!;erfecto!;Perfetto!;T鰇閘etes!;Perfektn?;;;;;;x,,,,,,
MILALLACCEPT_BTN2;太完美了!;Parfait !;Perfekt!;寃ietnie!;erfecto!;Perfetto!;T鰇閘etes!;Perfektn?;;;;;;x,,,,,,
MILALLACCEPT_BTN3;查看;Aller ?查看;Id?do;Ir all?Andare;Menj ide:;P鴈j韙 na;;;;;;x,,,,,,
MILALLACCEPT_MAP;*;*;*;*;*;*;*;;;;;;;x,,,,,,
MILALLREJECT_SETUP;当某国拒绝你提出的军事同盟的建议;Quand une nation rejette votre proposition d'alliance militaire;Wenn ein Land Ihren Milit鋜b黱dnisvorschlag ablehnt.;Kiedy jaki?kraj odrzuca propozycj?wej渃ia do naszego sojuszu wojskowego;Cuando una naci髇 rechace tu propuesta de alianza militar;Quando una nazione respinge la tua proposta di alleanza militare;Mikor egy nemzet elutas韙ja a katonai sz鰒ets間 aj醤latunkat;Kdy?n醨od odm韙ne va歩 nab韉ku na vojenskou alianci;;;;;;x,,,,,,
MILALLREJECT_HEADER;$foreign_minister$ 报告;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x,,,,,,
MILALLREJECT_1;来自 $RECIPIENT$ 的使节;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;Un embajador de $RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x,,,,,,
MILALLREJECT_2;$MONARCHTITLE$，我们为您带来了性质非常严重的消息：;$MONARCHTITLE$,;$MONARCHTITLE$, wir bringen ernste Nachrichten an Euren Hof:;Mamy wa縩e wiadomo渃i dla twego dworu:;$MONARCHTITLE$, traemos malas noticias a vuestra corte:;$MONARCHTITLE$, portiamo cattive notizie alla tua corte:;Komoly h韗em vannak az udvar sz醡醨a:;$MONARCHTITLE$, p鴌n釟韒e ke dvoru z醰a瀗?zpr醰y:;;;;;;x
MILALLREJECT_3;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;Pa駍two $RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x,,,,,,
MILALLREJECT_4;竟然拒绝了我们提出的加入我们的;a rejet?hat unseren;odrzuca nasz?ha rechazado nuestra;ha respinto la nostra;elutas韙otta;odm韙l n釟 n醰rh na;;;;;;x,,,,,,
MILALLREJECT_5;军事同盟;notre proposition;Milit鋜b黱dnisvorschlag;propozycj?wej渃ia;Alianza militar;proposta di alleanza;a katonai sz鰒ets間;vojenskou alianci;;;;;;x,,,,,,
MILALLREJECT_6;的建议.;d'alliance militaire.;abgelehnt.;do sojuszu wojskowego.;alianza militar.;militare.;aj醤latunkat.;.;;;;;;x,,,,,,
MILALLREJECT_LOG;$RECIPIENT$拒绝了我们提出的军事同盟的建议。;$RECIPIENT$ : ce pays a rejet?notre proposition d'alliance militaire.;$RECIPIENT$ hat unseren Milit鋜b黱dnisvorschlag abgelehnt.;Pa駍two $RECIPIENT$ odrzuca nasz?propozycj?wej渃ia do sojuszu wojskowego.;$RECIPIENT$ ha rechazado nuestra propuesta de alianza militar.;$RECIPIENT$ ha respinto la nostra proposta di alleanza militare.;$RECIPIENT$ elutas韙otta a katonai sz鰒ets間 aj醤latunkat.;$RECIPIENT$ odm韙l n釟 n醰rh na vojenskou alianci.;;;;;;x,,,,,,
MILALLREJECT_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
MILALLREJECT_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
MILALLREJECT_BTN3;查看;Aller ?查看;Id?do;Ir all?Andare;Menj ide:;P鴈j韙 na;;;;;;x,,,,,,
MILALLREJECT_MAP;*;*;*;*;*;*;*;;;;;;;x,,,,,,
MILLALLJOINREJECTOTHER_SETUP;当某国拒绝了他国提出的军事同盟的建议;Quand une nation refuse la demande d'une autre nation de rejoindre son alliance militaire;Wenn ein Land die Bitte ablehnt, dem Milit鋜b黱dnis eines anderen Landes beizutreten.;Kiedy jaki?kraj odmawia pro渂ie innego pa駍twa, chc筩ego przy彻czy?si?do ich sojuszu wojskowego;Cuando una naci髇 reh鷖e la petici髇 de otra para unirse a su alianza militar;Quando una nazione rifiuta l'offerta di alleanza militare avanzata da un'altra nazione;Mikor egy nemzet elutas韙 egy m醩ik nemzet 醠tal felaj醤lott katonai sz鰒ets間et;Kdy?n醨od odm韙ne n醰rh jin閔o n醨oda na vojenskou alianci.;;;;;;x,,,,
MILLALLJOINREJECTOTHER_HEADER;$minister_of_intelligence$报告;$minister_of_intelligence$ rapporte que;$minister_of_intelligence$ berichtet:;;$minister_of_intelligence$ informa que;;;;;;;;;x,,,,,,
MILLALLJOINREJECTOTHER_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x,,,,,,
MILLALLJOINREJECTOTHER_2;$MONARCHTITLE$，$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;Pa駍two $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;;;;;x
MILLALLJOINREJECTOTHER_3;拒绝了 $ACTOR$ 的关于;a refus?la requ阾e de $ACTOR$;lehnte $ACTOR$s Bitte ab,;odmawia pro渂ie pa駍twa $ACTOR$;ha declinado la solicitud de $ACTOR$;ha respinto l'offerta di $ACTOR$;elutas韙otta $ACTOR$ aj醤lat醫, hogy;odm韙l po瀉davek $ACTOR$;;;;;;x,,,,
MILLALLJOINREJECTOTHER_4;加入;de se joindre ?son;ihrem Milit鋜b黱dnis;wst筽ienia do ich;de unirse a su;di entrare nella loro;legyen az ?na vytvo鴈n?;;;;;x,,,,,,
MILLALLJOINREJECTOTHER_5;他们军事同盟的建议;alliance militaire;beizutreten;sojuszu wojskowego.;Alianza militar;alleanza militare.;katonai sz鰒ets間ese.;vojensk?aliance;;;;;;x,,,,,,
MILLALLJOINREJECTOTHER_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,
MILLALLJOINREJECTOTHER_LOG;$RECIPIENT$拒绝了$ACTOR$ 提出的加入他们军事同盟的建议。;$RECIPIENT$ : ce pays a refus?de rejoindre l'alliance militaire de : $ACTOR$.;$RECIPIENT$ lehnte $ACTOR$s Bitte ab, ihrem Milit鋜b黱dnis beizutreten.;Pa駍two $RECIPIENT$ odmawia pro渂ie $ACTOR$ o przyj阠ie ich do sojuszu wojskowego.;$RECIPIENT$ ha declinado la solicitud de $ACTOR$ para unirse a su alianza militar.;$RECIPIENT$ ha respinto l'offerta di alleanza militare avanzata da $ACTOR$.;$RECIPIENT$ elutas韙otta $ACTOR$ katonai sz鰒ets間閔ez val?csatlakoz醩t.;$RECIPIENT$ odm韙l po瀉davek $ACTOR$ na vojenskou alianci.;;;;;;x,,,,,
MILLALLJOINREJECTOTHER_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
MILLALLJOINREJECTOTHER_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
MILLALLJOINREJECTOTHER_BTN3;查看;Aller ?查看;Id?do;Ir all?Andare;Menj ide:;P鴈j韙 na;;;;;;x,,,,,,
MILLALLJOINREJECTOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_SETUP;当某国同意了他国提出的军事同盟的建议;Quand une nation accepte l'invitation ?se joindre ?l'alliance militaire d'une autre nation;Wenn ein Land die Einladung eines anderen Landes zu einem Milit鋜b黱dnis akzeptiert.;Kiedy jaki?kraj przyjmuje zaproszenie do przy彻czenia si?do sojuszu wojskowego;Cuando una naci髇 acepte una invitaci髇 para unirse a una alianza militar con una tercera;Quando una nazione accetta la proposta di stringere un'alleanza militare con un'altra nazione;Mikor egy nemzet elfogadja egy m醩ik nemzet katonai sz鰒ets間 aj醤lat醫;Kdy?n醨od p鴌jme nab韉ku jin閔o n醨oda na vytvo鴈n?vojensk?aliance;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_HEADER;$minister_of_intelligence$报告;$minister_of_intelligence$ rapporte que;$minister_of_intelligence$ berichtet:;;$minister_of_intelligence$ informa que;;;;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_2;$MONARCHTITLE$，$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;Pa駍two $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;;;;;x
MILLALLINVACCEPTOTHER_3;加入了军事同盟;a sign?une alliance militaire;schloss ein Milit鋜b黱dnis;wchodzi w sojusz wojskowy;ha entrado en una alianza militar;ha stretto un'alleanza militare;katonai sz鰒ets間re l閜ett;vytvo鴌li vojenskou alianci;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_4;与$ACTOR$;avec son nouvel alli?mit ihrem neuen Verb黱deten;z nowym sojusznikiem:;con sus nuevos aliados de;con il suo nuovo alleato;鷍 sz鰒ets間es関el, aki:;se sv齧 nov齧 spojencem;;;;;;x,,,,,
MILLALLINVACCEPTOTHER_5;并肩作战;$ACTOR$;$ACTOR$;$ACTOR$.;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_6;;*;*;*;*;*;*;;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_LOG;$ACTOR$加入了和$RECIPIENT$的军事同盟。;$ACTOR$ - $RECIPIENT$ : signature d'une alliance entre ces deux pays.;$ACTOR$ schloss ein Milit鋜b黱dnis mit $RECIPIENT$;$ACTOR$ wchodzi w sojusz wojskowy z pa駍twem $RECIPIENT$.;$ACTOR$ ha entrado en una alianza militar con $RECIPIENT$;$ACTOR$ ha stretto un'alleanza militare con $ACTOR$.;$ACTOR$ katonai sz鰒ets間re l閜ett $RECIPIENT$ nemzet関el;$ACTOR$ vytvo鴌li vojenskou tradici s $RECIPIENT$;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_BTN3;查看;Aller ?查看;Id?do;Ir all?Andare;Menj ide:;P鴈j韙 na;;;;;;x,,,,,,
MILLALLINVACCEPTOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x,,,,,,
MILALLBANOTHER_SETUP;当某国撕毁与他国的盟约;Quand une nation rompt son alliance avec une autre nation.;Wenn ein Land sein B黱dnis mit einem anderen Land bricht.;Kiedy jedno z pa駍tw zrywa sojusz z innym krajem;Cuando una naci髇 rompe su alianza con otra.;Quando una nazione rompe l'alleanza con un'altra nazione.;Mikor egy nemzet felbontja egy m醩ik nemzettel szemben a katonai sz鰒ets間et;Kdy?n醨od zru氻 vojenskou alianci s jin齧 n醨odem.;;;;;;x,,,,,,
MILALLBANOTHER_HEADER;$minister_of_intelligence$ 报告;$minister_of_intelligence$ rapporte que;$minister_of_intelligence$ berichtet:;;$minister_of_intelligence$ informa que;;;;;;;;;x,,,,,,
MILALLBANOTHER_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x,,,,,,
MILALLBANOTHER_2;$MONARCHTITLE$，$ACTOR$;$MONARCHTITLE$, $ACTOR$ ;$MONARCHTITLE$, $ACTOR$ ;$ACTOR$ ;$MONARCHTITLE$, $ACTOR$ ;$MONARCHTITLE$, $ACTOR$ ;$ACTOR$ ;$MONARCHTITLE$, $ACTOR$;;;;;;x
MILALLBANOTHER_3;撕毁了与$RECIPIENT$的盟约;a rompu l'alliance avec : ;brach das B黱dnis mit;zrywa sojusz z pa駍twem;rompi?su alianza con;ha rotto l'alleanza con;felbontotta a sz鰒ets間et;zru歩li svoji alianci s;;;;;;x,,,,,,
MILALLBANOTHER_4;以划清界限;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$.;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$ nemzet関el szemben.;$RECIPIENT$;;;;;;x,,,,,,
MILALLBANOTHER_5;*;*;*;*;*;*;*;;;;;;;x,,,,,,
MILALLBANOTHER_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,
MILALLBANOTHER_LOG;$ACTOR$撕毁了与$RECIPIENT$的盟约。;$ACTOR$ - $RECIPIENT$ : rupture d'alliance.;$ACTOR$ brach ihr B黱dnis mit $RECIPIENT$.;$ACTOR$ zrywa sojusz z pa駍twem $RECIPIENT$.;$ACTOR$ rompi?su alianza con $RECIPIENT$.;$ACTOR$ ha rotto l'alleanza con: $RECIPIENT$.;$ACTOR$ felbontotta a sz鰒ets間et $RECIPIENT$ nemzet関el.;$ACTOR$ zru歩li svoji alianci s $RECIPIENT$.;;;;;;x,,,,,,
MILALLBANOTHER_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
MILALLBANOTHER_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
MILALLBANOTHER_BTN3;查看;Aller ?查看;Id?do;Ir all?Andare;Menj ide:;P鴈j韙 na;;;;;;x,,,,,,
MILALLBANOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x,,,,,,
MILALLBAN_SETUP;当某国撕毁与你的盟约;Quand une nation rompt son alliance avec vous.;Wenn ein Land sein B黱dnis mit Ihnen bricht.;Kiedy jakie?pa駍two zrywa z tob?sojusz;Cuando una naci髇 rompe su alianza contigo.;Quando una nazione rompe l'alleanza con te.;Mikor egy nemzet veled szemben bontja fel a katonai sz鰒ets間et;Kdy?n醨od zru氻 vojenskou alianci s v醡i.;;;;;;x,,,,,
MILALLBAN_HEADER;$foreign_minister$ 报告;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x,,,,,
MILALLBAN_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x,,,,,
MILALLBAN_2;$MONARCHTITLE$，$ACTOR$;$MONARCHTITLE$, $ACTOR$;$MONARCHTITLE$;$ACTOR$;$MONARCHTITLE$, $ACTOR$;$MONARCHTITLE$, $ACTOR$;$ACTOR$;$MONARCHTITLE$, $ACTOR$;;;;;;x
MILALLBAN_3;撕毁了和我国的;ce pays a rompu son alliance avec;brach das B黱dnis mit;zerwali sojusz z;rompi?su alianza con;ha rotto l'alleanza con;felbontotta a vel黱k k鰐鰐t;zru歩li svoji alianci s;;;;;;x,,,,,
