xxxx;;;;;;;;;;;;;;x
OL_NAVAL_BASE;Î»ÓÚ$PROV$µÄº£¾ü»ùµØÏÖÔÚ²´ÓÐ$NUM$ËÒ´¬Ö»;$NUM$ unités sont actuellement attribuées à la base navale de la province $PROV$;Dem Flottenstützpunkt $PROV$ sind momentan $NUM$ Einheiten zugewiesen;;La base naval de $PROV$ tiene actualmente $NUM$ unidades asignadas;;;;;;;;;x,,
OL_AIR_UNITS;¿Õ¾üµ¥Î»;Unités aériennes;Lufteinheiten;;Las unidades aéreas;;;;;;;;;x,,
OL_AIR;¸Ã¿Õ¾üµ¥Î»Ä¿Ç°Î»ÓÚ§Y$PROV$§W£¬$COMMANDER$¡£;Actuellement, cette unité aérienne $COMMANDER$ et se situe dans la province §Y$PROV$§W.;Diese Lufteinheit steht derzeit unter dem Befehl von $COMMANDER$ und befindet sich in §Y$PROV$§W.;;Esta unidad aérea $COMMANDER$ actualmente y se encuentra en §Y$PROV$§W.;;;;;;;;;x,,
OL_AIR_MOVE;ËüÕý·ÉÏò§Y$DEST$§W¡£;Elle vole vers : §Y$DEST$§W.;Ihr Flugziel ist §Y$DEST$§W.;;Ha partido hacia §Y$DEST$§W.;;;;;;;;;x,,
OL_AIR_BASE;Î»ÓÚ$PROV$µÄ¿Õ¾ü»ùµØÄ¿Ç°ÓµÓÐ$NUM$¸ö¿Õ¾üµ¥Î»;$NUM$ unités sont actuellement attribuées à la base aérienne de la province $PROV$;Dem Luftwaffenstützpunkt $PROV$ sind momentan $NUM$ Einheiten zugewiesen;;La base aérea de $PROV$ tiene actualmente $NUM$ unidades asignadas;;;;;;;;;x,,
OL_COMBATS;Â½Õ½;Combat terrestre;Landgefechte;;Combate terrestre;;;;;;;;;x,,
OL_NAVAL_COMBAT;º£Õ½;Combat naval;Seegefechte;;El combate naval;;;;;;;;;x,,
OL_AIR_COMBAT;¿ÕÕ½;Combat aérien;Luftkampf;;Combate aéreo;;;;;;;;;x,,
OL_LAND_COMBAT_ATTACK;ÎÒÃÇÔ¤¶¨µÄ¹¥»÷ÐÐ¶¯È¡µÃÁËÈçÏÂµÄÐ§¹û$PROGRESS$%¡£ÎÒ¾üÓÉ$OUR_LEAD$Ö¸»Ó£¬ÓµÓÐ$OUR_NUM$¸öÂÃµÄ×÷Õ½²¿¶ÓÒÔ¼°$OUR_RES$¸öÂÃµÄÔ¤±¸¶Ó¡£ÎÒÃÇÃæ¶ÔµÄ$ENEMY$µÄ²¿¶ÓÓÉ$THEIR_LEAD$Ö¸»Ó£¬ÓµÓÐ$THEIR_NUM$¸öÂÃµÄ×÷Õ½²¿¶ÓÒÔ¼°$THEIR_RES$¸öÂÃµÄÔ¤±¸¶Ó¡£;"Notre attaque nous a fait progresser de §Y$PROGRESS$%§W. Nos forces sont dirigées par §Y$OUR_LEAD$§W ; il a engagé §Y$OUR_NUM$§W brigades et il dispose de §Y$OUR_RES$§W brigades réservistes. Nous affrontons les forces de $ENEMY$ dirigées par §Y$THEIR_LEAD$";Unser Angriff hat eine Siegesfortschrittsrate von §Y$PROGRESS$%§W. Unsere Kräfte werden von §Y$OUR_LEAD$§W angeführt, der §Y$OUR_NUM$§W Brigaden im Einsatz und §Y$OUR_RES$§W Brigaden in Reserve hat. Wir stehen den $ENEMY$-Kräften unter Führung von §Y$THEIR_LEAD$§W gegenüber, der §Y$THEIR_NUM$§W Brigaden im Einsatz und  §Y$THEIR_RES$§W Brigaden in Reserve hat.;;En nuestro ataque, tenemos que progresar en §Y$PROGRESS$%§W. Nuestras fuerzas están al mando de §Y$OUR_LEAD$§W que tiene §Y$OUR_NUM$§W brigadas comprometidas, y §Y$OUR_RES$§W brigadas en la reserva. Nos enfrentamos a las fuerzas de $ENEMY$ dirigidas por §Y$THEIR_LEAD$§W, que cuenta con §Y$THEIR_NUM$§W brigadas comprometidas, y §Y$THEIR_RES$§W brigadas en la reserva.;;;;;;;;;
OL_LAND_COMBAT_DEFEND;ÎÒÃÇÔ¤¶¨µÄ·ÀÓùÐÐ¶¯È¡µÃÁËÈçÏÂµÄÐ§¹û$PROGRESS$%¡£ÎÒ¾üÓÉ$OUR_LEAD$Ö¸»Ó£¬ÓµÓÐ$OUR_NUM$¸öÂÃµÄ×÷Õ½²¿¶ÓÒÔ¼°$OUR_RES$¸öÂÃµÄÔ¤±¸¶Ó¡£ÎÒÃÇÃæ¶ÔµÄ$ENEMY$µÄ²¿¶ÓÓÉ$THEIR_LEAD$Ö¸»Ó£¬ÓµÓÐ$THEIR_NUM$¸öÂÃµÄ×÷Õ½²¿¶ÓÒÔ¼°$THEIR_RES$¸öÂÃµÄÔ¤±¸¶Ó¡£;"Nous nous défendons contre une attaque progressant de §R$PROGRESS$%§W vers son objectif. Notre défense est dirigée par §Y$OUR_LEAD$§W qui a engagé §Y$OUR_NUM$§W brigades ; il dispose de §Y$OUR_RES$§W brigades réservistes. Nous affrontons les forces de $EN$";Wir verteidigen uns gegen einen Angriff mit einer Siegesfortschrittsrate von §Y$PROGRESS$%§W. Unsere Verteidiger werden von §Y$OUR_LEAD$§W angeführt, der §Y$OUR_NUM$§W Brigaden im Einsatz und §Y$OUR_RES$§W Brigaden in Reserve hat. Wir stehen den $ENEMY$-Kräften unter Führung von §Y$THEIR_LEAD$§W gegenüber, der §Y$THEIR_NUM$§W Brigaden im Einsatz und  §Y$THEIR_RES$§W Brigaden in Reserve hat.;;Nos estamos defendiendo contra un ataque, con un progreso de §R$PROGRESS$%§W hacia el éxito. Nuestras fuerzas están al mando de §Y$OUR_LEAD$§W que tiene §Y$OUR_NUM$§W brigadas comprometidas, y §Y$OUR_RES$§W brigadas en la reserva. Nos enfrentamos a las fuerzas de $ENEMY$ dirigidas por §Y$THEIR_LEAD$§W, que cuenta con §Y$THEIR_NUM$§W brigadas comprometidas, y §Y$THEIR_RES$§W brigadas en la reserva.;;;;;;;;;,,
OL_BOMB_ON_US;µÐ·½µÄºäÕ¨;Bombardement ennemi;Feindliche Bombardements;;Bombardeo hostil;;;;;;;;;x,,
OL_WE_BOMB;ÎÒ·½µÄºäÕ¨;Nos bombardements;Unsere Bombardements;;Nuestros bombardeos;;;;;;;;;x,,
OL_WING;¿Õ¾üÁª¶Ó;Flottes aériennes;Geschwader;;Alas;;;;;;;;;x,,
