THEYALIGNSTOP_SETUP;当他国停止靠向我们的阵营;Quand une nation arr阾e de s抋ligner sur notre faction.;Wenn eine andere Nation ihre Ausrichtung an unserer Fraktion stoppt.;;;;;;;;;;;x
THEYALIGNSTOP_HEADER;$foreign_minister$ 报告;$foreign_minister$ rapporte que;$foreign_minister$ berichtet;;;;;;;;;;;x
THEYALIGNSTOP_1;外交阵营;Alignement diplomatique;Diplomatische Ausrichtung;;;;;;;;;;;x
THEYALIGNSTOP_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$,;;$MONARCHTITLE$,;;;;;;;;;x
THEYALIGNSTOP_3;$ACTOR$;$ACTOR$;$ACTOR$;;$ACTOR$;;;;;;;;;x,
THEYALIGNSTOP_4;不再尝试靠向我们的阵营。;n抏ssaie plus de s抋ligner sur notre faction.;versuchen nicht mehr, sich an unserer Fraktion auszurichten.;;;;;;;;;;;x
THEYALIGNSTOP_5;*;*;*;;*;;;;;;;;;x,
THEYALIGNSTOP_6;*;*;*;;*;;;;;;;;;x,
THEYALIGNSTOP_LOG;$ACTOR$ 停止靠向我们的阵营。;$ACTOR$ a arr阾?de s抋ligner sur notre faction.;$ACTOR$ stoppte die Ausrichtung an unserer Fraktion.;;;;;;;;;;;x
THEYALIGNSTOP_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
THEYALIGNSTOP_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
THEYALIGNSTOP_BTN3;查看;Aller ?Goto;Id?do;Ir all?Andare;Ugr醩;P鴈j韙 na;;;;;;x
THEYALIGNSTOP_MAP;*;*;*;*;*;*;*;;;;;;;x
GGCOINS_BAD_LOGIN;错误的用户名或密码;Nom d抲tilisateur ou mot de passe incorrect;Benutzername oder Passwort ung黮tig;;;;;;;x;;;;x
OV_CONT;选择持续将开始任务直到玩家取消。;Cochez la case pour d閙arrer imm閐iatement la mission et la poursuivre jusqu掄 ce qu抏lle soit annul閑 par le joueur.;"Aktivieren Sie das K鋝tchen ""Kontinuierlich"", um die Mission sofort zu starten. Sie wird dann weiter laufen, bis sie vom Spieler abgebrochen wird.";;;;;;;x;;;;x
ALLOWDEBTDESC;向贸易方请求被允许在战时积累债务。;Demandez l抋utorisation d抋ccumuler des dettes pendant la guerre, lorsqu'il commerce avec eux.;Bitte um Erlaubnis, w鋒rend Kriegszeiten beim Handel mit ihnen Verschuldungen einzugehen.;;;;;;;;;;;x
NEEDED_OFFICERS;需要的军官;Officiers requis;Ben鰐igte Offiziere;;;;;;;;;;;x
BUILD_OFF_DD_IRO;军官;Officiers;Offiziere;;;;;;;;;;;x
BUILD_OFF_DD_DRO;这表示该单位需要多少军官来保证在正常效率下作战。;Nombre d抩fficiers requis par chaque unit?pour se battre efficacement.;Dies ist die Anzahl der Offiziere, die jede Einheit zum effizienten Kampf ben鰐igt.;;;;;;;;;;;x
MODIFIER_GLOBAL_RESOURCES;资源;Ressources;Ressourcen;;;;;;;;;;;x
OFFICER_NUMBER2_IRO;我们拥有$OFFICERS$军官负责$DIVISIONS$个陆军旅，舰船和飞机编队。\n不同单位需要不同数量的军官，\n我们需要至少$NEED$军官才能保持一个合适的比例。\n每天我们能培训$DAILY$新军官。;Nous disposons de $OFFICERS$ officiers pour $DIVISIONS$ brigades, navires et escadrilles. Diff閞ents types d'unit閟 requi鑢ent diff閞entes quantit閟 d'officiers, mais pour un ratio correct nous avons besoin d'au moins $NEED$ officiers. Nous formons chaque jour $DAILY$ nouveaux officiers.;Wir haben $OFFICERS$ Offiziere in unseren $DIVISIONS$ Brigaden, Flugzeugen und auf unseren Schiffen. Verschiedene Einheitentypen ben鰐igen unterschiedliche Anzahlen von Offizieren, aber f黵 ein sinnvolles Verh鋖tnis von Mannschaften zu Offizieren ben鰐igen wir mindestens $NEED$ Offiziere. Wir bilden t鋑lich $DAILY$ neue Offiziere aus.;;;;;;;;;;;x
KPH;千米每小时;km/h;;km/h;;;;;;;;;;x
ITEM_RESEARCH_START;开始研究;D閎ut des recherches;Forschung beginnen;;;;;;;;;;;x
CONVOYS;运输舰;Convois;Konvoi;Konw骿;;;;;;;;;;x
ESCORTS;护航舰;Escortes;Eskorte;Eskorta;;;;;;;;;;x
NONE;没有;Rien;Keine;Brak;;;;;;;;;;x
AI;AI;IA;KI;Przekaz SI;;;;;;;;;;x
accept;接受;Confirmer;Akzeptierung;;Aceptar;;;;;;;;;x
cancel;取消;Annuler;Abbrechen;;Cancelar;;;;;;;;;x
new_deal_title;战争动员;Pr閜aratifs de guerre;Kriegsvorbereitungen;;;;;;;;;;;x
gear_up_for_war_title;战争动员;Pr閜aratifs de guerre;Kriegsvorbereitungen;;;;;;;;;;;x
gear_up_for_war_desc;当战争席卷世界，美国也开始为战争武装了起来。由于美国\n军队的扩大和租借法案带来的巨大需求迫使美国大规模扩张\n了自己的工业基地。;Alors que la guerre devient mondiale, les pr閜aratifs des Etats-Unis s抜ntensifient. L抏xpansion des forces arm閑s am閞icaines ainsi que la loi sur le pr阾-bail n閏essitent un d関eloppement massif de l抜ndustrie am閞icaine.;W鋒rend der Krieg sich 黚er die ganze Welt ausbreitet, bereiten sich die Vereinigten Staaten immer mehr auf ihren Eintritt vor. Die Erweiterung der US-Streitkr鋐te sowie die enormen Erfordernisse des Leih- und Pachtgesetzes bed黵fen alle einer massiven Expansion der US-Industriebasis.;;;;;;;;;;;x
us_new_deal;罗斯福新政;New Deal;New Deal;;;;;;;;;;;x
ANNEX_SETUP;当一个国家吞并了另一个国家;Quand une nation en annexe une autre;Wenn eine Nation eine andere Nation annektiert;;;;;;;;;;;x
ANNEX_HEADER;$foreign_minister$ 报告;$foreign_minister$ rapporte que;$foreign_minister$ berichtet;;;;;;;;;;;x
ANNEX_1;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;;;;;;x
ANNEX_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$,;;;;;;;;;;;x
ANNEX_3;$ACTOR$ 吞并了 $RECIPIENT$;$ACTOR$ a annex?$RECIPIENT$;$ACTOR$ annektierte $RECIPIENT$,;;;;;;;;;;;x
ANNEX_4;后者已经成为他们国家的一部分。;qui fait d閟ormais partie de son pays.;das nun Teil ihrer Nation ist;;;;;;;;;;;x
ANNEX_5;*;*;*;;;;;;;;;;;x
ANNEX_6;*;*;*;;;;;;;;;;;x
ANNEX_LOG;$ACTOR$ 吞并了 $RECIPIENT$.;$ACTOR$ a annex?$RECIPIENT$.;$ACTOR$ annektierte $RECIPIENT$.;;;;;;;;;;;x
ANNEX_BTN1;好的;OK;OK;;;;;;;;;;;x
ANNEX_BTN2;好的;OK;OK;;;;;;;;;;;x
ANNEX_BTN3;查看;Aller ?Goto;;;;;;;;;;;x
ANNEX_MAP;*;*;*;;;;;;;;;;;x
