light_cruiser.0 = {                 #
    lightcruiser_armament = 9       #1948
    lightcruiser_antiaircraft = 9   #1948
    lightcruiser_engine = 9         #1948
    lightcruiser_armour = 9         #1948
    smallwarship_radar = 6          #1948
    smallwarship_asw = 6            #1948
    light_cruiser_escort_role = 6   #1947
    light_cruiser_crew_training = 6 #1947
    spotting = 6                    #1947
}
light_cruiser.16 = {                #1949
    lightcruiser_armament = 9       #1948
    lightcruiser_antiaircraft = 9   #1948
    lightcruiser_engine = 9         #1948
    lightcruiser_armour = 9         #1948
    smallwarship_radar = 6          #1948
    smallwarship_asw = 6            #1948
    light_cruiser_escort_role = 7   #1949
    light_cruiser_crew_training = 7 #1949
    spotting = 7                    #1949
}
light_cruiser.17 = {                #1950
    lightcruiser_armament = 10      #1950
    lightcruiser_antiaircraft = 10  #1950
    lightcruiser_engine = 10        #1950
    lightcruiser_armour = 10        #1950
    smallwarship_radar = 7          #1950
    smallwarship_asw = 7            #1950
    light_cruiser_escort_role = 7   #1949
    light_cruiser_crew_training = 7 #1949
    spotting = 7                    #1949
}
light_cruiser.18 = {                #1951
    lightcruiser_armament = 10      #1950
    lightcruiser_antiaircraft = 10  #1950
    lightcruiser_engine = 10        #1950
    lightcruiser_armour = 10        #1950
    smallwarship_radar = 7          #1950
    smallwarship_asw = 7            #1950
    light_cruiser_escort_role = 8   #1951
    light_cruiser_crew_training = 8 #1951
    spotting = 8                    #1951
}
light_cruiser.19 = {                #1952
    lightcruiser_armament = 11      #1952
    lightcruiser_antiaircraft = 11  #1952
    lightcruiser_engine = 11        #1952
    lightcruiser_armour = 11        #1952
    smallwarship_radar = 8          #1952
    smallwarship_asw = 8            #1952
    light_cruiser_escort_role = 8   #1951
    light_cruiser_crew_training = 8 #1951
    spotting = 8                    #1951
}
light_cruiser.20 = {                #1953
    lightcruiser_armament = 11      #1952
    lightcruiser_antiaircraft = 11  #1952
    lightcruiser_engine = 11        #1952
    lightcruiser_armour = 11        #1952
    smallwarship_radar = 8          #1952
    smallwarship_asw = 8            #1952
    light_cruiser_escort_role = 9   #1953
    light_cruiser_crew_training = 9 #1953
    spotting = 9                    #1953
}
light_cruiser.21 = {                #1954
    lightcruiser_armament = 12      #1954
    lightcruiser_antiaircraft = 12  #1954
    lightcruiser_engine = 12        #1954
    lightcruiser_armour = 12        #1954
    smallwarship_radar = 9          #1954
    smallwarship_asw = 9            #1954
    light_cruiser_escort_role = 9   #1953
    light_cruiser_crew_training = 9 #1953
    spotting = 9                    #1953
}
light_cruiser.22 = {                #1955
    lightcruiser_armament = 12      #1954
    lightcruiser_antiaircraft = 12  #1954
    lightcruiser_engine = 12        #1954
    lightcruiser_armour = 12        #1954
    smallwarship_radar = 9          #1954
    smallwarship_asw = 9            #1954
    light_cruiser_escort_role = 10   #1955
    light_cruiser_crew_training = 10 #1955
    spotting = 10                   #1955
}
light_cruiser.23 = {                #1956
    lightcruiser_armament = 12      #1954
    lightcruiser_antiaircraft = 12  #1954
    lightcruiser_engine = 12        #1954
    lightcruiser_armour = 12        #1954
    smallwarship_radar = 10         #1956
    smallwarship_asw = 10           #1956
    light_cruiser_escort_role = 10   #1955
    light_cruiser_crew_training = 10 #1955
    spotting = 10                   #1955
}
light_cruiser.24 = {                #1957
    lightcruiser_armament = 12      #1954
    lightcruiser_antiaircraft = 12  #1954
    lightcruiser_engine = 12        #1954
    lightcruiser_armour = 12        #1954
    smallwarship_radar = 10         #1956
    smallwarship_asw = 10           #1956
    light_cruiser_escort_role = 11   #1957
    light_cruiser_crew_training = 11 #1957
    spotting = 11                   #1957
}
light_cruiser.25 = {                #1958
    lightcruiser_armament = 12      #1954
    lightcruiser_antiaircraft = 12  #1954
    lightcruiser_engine = 12        #1954
    lightcruiser_armour = 12        #1954
    smallwarship_radar = 11         #1958
    smallwarship_asw = 11           #1958
    light_cruiser_escort_role = 11   #1957
    light_cruiser_crew_training = 11 #1957
    spotting = 11                   #1957
}
light_cruiser.26 = {                #1959
    lightcruiser_armament = 12      #1954
    lightcruiser_antiaircraft = 12  #1954
    lightcruiser_engine = 12        #1954
    lightcruiser_armour = 12        #1954
    smallwarship_radar = 11         #1958
    smallwarship_asw = 11           #1958
    light_cruiser_escort_role = 12   #1959
    light_cruiser_crew_training = 12 #1959
    spotting = 12                   #1959
}
light_cruiser.27 = {                #1960
    lightcruiser_armament = 12      #1954
    lightcruiser_antiaircraft = 12  #1954
    lightcruiser_engine = 12        #1954
    lightcruiser_armour = 12        #1954
    smallwarship_radar = 12         #1960
    smallwarship_asw = 12           #1960
    light_cruiser_escort_role = 12   #1959
    light_cruiser_crew_training = 12 #1959
    spotting = 12                   #1959
}
